,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,ttm
0,TotalAssets,"92,087,000","259,362,000","268,173,000","331,898,000","363,400,000","455,542,000","457,756,000","388,319,000","317,107,000","315,601,000","282,851,000",
1,	CurrentAssets,"24,175,000","55,919,000","80,951,000","151,718,000","121,474,000","219,204,000","204,105,000","140,277,000","66,081,000","53,028,000","73,528,000",
2,		CashCashEquivalentsAndShortTermInvestments,"14,738,000","40,249,000","63,865,000","119,286,000","67,730,000","133,877,000","74,571,000","51,347,000","16,926,000","25,100,000","67,707,000",
3,			CashAndCashEquivalents,"14,738,000","40,249,000","63,865,000","119,286,000","67,730,000","133,877,000","74,571,000","51,347,000","16,926,000","25,100,000","67,707,000",
4,				CashFinancial,"14,738,000","40,249,000","63,865,000","119,286,000","67,730,000","133,877,000","74,571,000","51,347,000","16,926,000","25,100,000",,
5,		Inventory,"3,026,000","4,946,000","4,808,000","4,808,000","4,844,000","5,015,000","4,799,000","4,799,000","4,799,000","4,800,000","4,517,000",
6,		PrepaidAssets,,,"1,311,000","1,570,000","1,109,000","1,686,000","4,380,000","5,151,000","2,510,000","674,000",,
7,		RestrictedCash,0,"1,000,000",,,"2,340,000","1,380,000","1,380,000","1,000,000",,,,
8,		HedgingAssetsCurrent,,,,,,,,,,0,"392,000",
9,		OtherCurrentAssets,,,,,,,,0,,,,
10,	TotalNonCurrentAssets,"67,912,000","203,443,000","187,222,000","180,180,000","241,926,000","236,338,000","253,651,000","248,042,000","251,026,000","262,573,000","209,323,000",
11,		NetPPE,"67,896,000","203,335,000","186,761,000","178,809,000","238,868,000","234,336,000","251,164,000","245,279,000","250,173,000","262,573,000","209,323,000",
12,			GrossPPE,"468,204,000","449,559,000","398,978,000","352,612,000","351,985,000","362,374,000","331,194,000","307,397,000","294,683,000","289,609,000","221,318,000",
13,				Properties,0,0,,,,,,,,,,
14,				BuildingsAndImprovements,"1,096,000","1,738,000",,,,,,,,,,
15,				MachineryFurnitureEquipment,"2,017,000","2,025,000","1,909,000","1,899,000","1,899,000","1,899,000","1,873,000","1,208,000","1,128,000","1,128,000","206,731,000",
16,				OtherProperties,"353,811,000","353,188,000","352,685,000","350,713,000","350,086,000","360,475,000","329,321,000","306,189,000","293,555,000","288,481,000","14,587,000",
17,				ConstructionInProgress,"111,280,000","92,608,000","44,384,000",,,,,,,,,
18,			AccumulatedDepreciation,"-400,308,000","-246,224,000","-212,217,000","-173,803,000","-113,117,000","-128,038,000","-80,030,000","-62,118,000","-44,510,000","-27,036,000","-11,995,000",
19,		NonCurrentDeferredAssets,,,,,,,,0,,,,
20,			NonCurrentDeferredTaxesAssets,"16,000","108,000","461,000","1,372,000","3,058,000","2,002,000","2,486,000","2,763,000","853,000",,,
21,		OtherNonCurrentAssets,,,,"-1,000",,,"1,000",0,,,,
22,TotalLiabilitiesNetMinorityInterest,"8,959,000","8,377,000","6,783,000","100,689,000","136,333,000","211,266,000","249,404,000","180,807,000","138,760,000","176,648,000","159,020,000",
23,	CurrentLiabilities,"7,933,000","7,311,000","6,350,000","20,441,000","45,204,000","109,370,000","136,638,000","90,991,000","39,893,000","66,893,000","29,084,000",
24,		CurrentProvisions,"1,573,000",,,,,,,,,,,
