,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,04/30/1999,04/30/1998,04/30/1997,04/30/1996,ttm
12,			FinishedGoods,,,,,,,,,,,,,,,,,,,"94,323,000","55,118,000",,,,,,,
13,			OtherInventories,,,,,,,,,,,,,,,,,,"95,254,000","19,740,000",,,,,,,,
14,		PrepaidAssets,"76,507,000","66,240,000","60,321,000","52,444,000","55,855,000","50,687,000","70,408,000","82,481,000","56,411,000","46,440,000",,,,,"40,739,748",,,,,,,,,,,,
15,		CurrentDeferredAssets,,,,,,,,,,,,,,,,,"8,711,303",,,,,,,,,,
16,			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,"8,711,303",,,,,,,,,,
17,		AssetsHeldForSaleCurrent,,0,"19,658,000",,,,,,,,,,,,,,,,,,,,,,,,
18,		OtherCurrentAssets,,,,,,,,,,,,,"1,214",-1,1,"1,163","-1,200","21,150,000","7,804,000",,"2,050,000","3,400,000",,,,,
19,	TotalNonCurrentAssets,"2,556,615,000","2,852,075,000","3,113,342,000","3,451,185,000","3,852,604,000","4,098,091,000","4,155,144,000","3,936,442,000","3,624,161,000","3,376,992,000","3,620,123,000","3,742,254,000","4,148,472,559","1,491,653,590","1,388,740,680","1,211,191,999","2,914,698,824","2,221,927,000","2,158,188,000","2,055,161,000","1,854,879,000","1,081,800,000","986,500,000","904,700,000","449,400,000","86,300,000",
20,		NetPPE,"2,527,851,000","2,815,605,000","3,038,612,000","3,173,824,000","3,641,889,000","3,883,332,000","3,928,826,000","3,561,734,000","3,242,929,000","2,942,296,000","2,812,281,000","2,913,966,000","3,243,212,725","1,210,586,950","1,107,616,496","943,900,454","1,945,520,758","1,588,250,000","1,521,444,000","1,418,609,000","1,287,932,000","761,600,000","683,500,000","643,700,000","328,500,000","82,000,000",
21,			GrossPPE,"6,618,374,000","6,737,121,000","6,937,062,000","6,733,634,000","7,011,178,000","6,949,846,000","5,898,980,000","5,260,263,000","4,608,381,000","4,129,718,000","3,764,633,000","3,704,036,000","3,956,265,178","1,851,194,756","1,678,216,449","1,458,533,551","2,748,344,132","2,191,315,000","2,021,258,000","1,791,629,000","1,559,447,000","973,000,000","862,000,000","771,100,000","393,600,000","124,800,000",
22,				Properties,"6,025,767,000","6,109,383,000","6,322,536,000","6,034,166,000","6,266,991,000","6,069,179,000","4,916,329,000","4,511,396,000","3,986,743,000",,0,0,0,0,0,0,0,"15,922,000","16,982,000","14,679,000",,,,,,,
23,				LandAndImprovements,"33,211,000","33,547,000","34,429,000","33,886,000","35,032,000","35,587,000","32,580,000","29,520,000","28,594,000",,"18,973,000","19,166,000","19,606,605","10,121,164","10,109,506","8,996,395","17,534,197",,,,,,,,,,
24,				BuildingsAndImprovements,"122,278,000","126,177,000","128,327,000","127,385,000","131,361,000","131,164,000","120,273,000","74,964,000","72,069,000",,"42,868,000","43,312,000","43,047,596","30,613,765","29,582,945","32,830,562","80,313,175","77,839,000","71,131,000","52,734,000",,,,,,,
25,				MachineryFurnitureEquipment,"35,350,000","38,506,000","45,456,000","43,201,000","45,147,000","43,552,000","39,857,000","69,611,000","63,196,000",,"3,636,071,000","3,591,917,000","3,742,608,062","1,733,363,790","1,562,284,483","1,416,706,594","2,650,496,760","2,097,554,000","1,933,145,000","1,724,216,000",,,,,,,
26,				OtherProperties,"341,196,000","361,768,000","321,753,000","392,961,000","406,217,000","411,412,000","392,385,000","355,339,000","323,988,000",,,,1,,,,,,,,,,,,,,
27,				ConstructionInProgress,"60,572,000","67,740,000","84,561,000","102,035,000","126,430,000","258,952,000","397,556,000","219,433,000","133,791,000",,"66,721,000","49,641,000","151,002,914","77,096,037","76,239,515",,,,,,,,,,,,
28,			AccumulatedDepreciation,"-4,090,523,000","-3,921,516,000","-3,898,450,000","-3,559,810,000","-3,369,289,000","-3,066,514,000","-1,970,154,000","-1,698,529,000","-1,365,452,000","-1,187,422,000","-952,352,000","-790,070,000","-713,052,453","-640,607,806","-570,599,953","-514,633,097","-802,823,374","-603,065,000","-499,814,000","-373,020,000","-271,515,000","-211,400,000","-178,500,000","-127,400,000","-65,100,000","-42,800,000",
29,		GoodwillAndOtherIntangibleAssets,"27,666,000","31,746,000","35,401,000","233,283,000","210,715,000","211,842,000","223,021,000","316,273,000","316,653,000","370,117,000","743,263,000","763,709,000","847,204,954","281,066,640","281,124,185","267,292,708","927,078,234","592,705,000","619,301,000","619,381,000","550,502,000","304,400,000","259,800,000","209,000,000","71,400,000",,
30,			Goodwill,,,0,"205,167,000","207,399,000","208,479,000","219,719,000","312,356,000","310,552,000","363,646,000","736,897,000","760,553,000","841,528,655","280,748,833","280,749,068","266,827,538",,,,,,,,,,,
31,			OtherIntangibleAssets,"27,666,000","31,746,000","35,401,000","28,116,000","3,316,000","3,363,000","3,302,000","3,917,000","6,101,000","6,471,000","6,366,000","3,156,000","5,676,299","317,807","375,117","465,170","927,078,234","592,705,000","619,301,000","619,381,000","550,502,000","304,400,000","259,800,000","209,000,000","71,400,000",,
32,		NonCurrentAccountsReceivable,,,"2,449,000","2,256,000",,"2,917,000","3,297,000","58,435,000","64,579,000","64,579,000",,,,,,,,,,,,,,,,,
33,		NonCurrentDeferredAssets,"1,098,000","4,724,000","36,880,000","41,822,000",,,,,,,,"64,579,000",,,,,"32,984,161",,,,,,,,,,
34,			NonCurrentDeferredTaxesAssets,"1,098,000","4,724,000","36,880,000","41,822,000",,,,,,,,"64,579,000",,,,,"32,984,161",,,,,,,,,,
35,		OtherNonCurrentAssets,,,,,,,,,,,"64,579,000",,"58,054,880",,-1,"-1,163","9,115,671","40,972,000","17,443,000","17,171,000","16,445,000","15,800,000","43,200,000","52,000,000","49,500,000","4,300,000",
36,TotalLiabilitiesNetMinorityInterest,"1,492,238,000","1,742,408,000","2,078,291,000","2,082,595,000","2,362,096,000","2,757,481,000","2,867,630,000","2,179,780,000","2,128,963,000","2,295,283,000","1,718,869,000","1,607,212,000","2,509,822,729","446,804,052","544,111,137","644,291,197","1,529,031,677","1,159,325,000","1,224,996,000","1,235,841,000","1,181,241,000","527,500,000","479,400,000","500,800,000","249,400,000","44,800,000",
37,	CurrentLiabilities,"166,840,000","216,069,000","282,162,000","209,625,000","240,736,000","243,784,000","500,222,000","336,898,000","398,081,000","440,453,000","216,516,000","128,599,000","339,900,437","131,449,002","205,961,090","354,935,458","378,762,899","438,197,000","391,571,000","383,233,000","375,521,000","191,600,000","170,000,000","140,800,000","113,600,000","22,300,000",
38,		PayablesAndAccruedExpenses,"154,659,000","203,620,000","282,162,000","209,625,000","240,736,000","243,784,000","500,222,000","336,898,000","398,081,000","440,453,000","216,516,000","128,376,000","270,121,418","80,864,038","130,201,538","134,302,826","340,371,970","260,545,000","268,568,000","253,342,000","227,548,000","129,800,000","74,700,000","107,600,000","66,100,000","17,000,000",
39,			Payables,"60,624,000","95,610,000","137,166,000","87,436,000","73,239,000","90,317,000","302,652,000","152,141,000","210,422,000","258,980,000","216,516,000","128,376,000","270,121,418","80,864,038","60,650,047","134,302,826","340,371,970","62,958,000","268,568,000","253,342,000","227,548,000","129,800,000","74,700,000","107,600,000","66,100,000","17,000,000",
40,				AccountsPayable,"56,922,000","91,468,000","129,493,000","87,436,000","73,239,000","82,481,000","295,468,000","148,081,000","146,234,000","255,194,000","215,653,000","128,376,000","270,121,418","80,864,038","60,650,047","134,302,826","340,371,970","62,958,000","268,568,000","253,342,000","227,548,000","129,800,000","74,700,000","107,600,000","66,100,000","17,000,000",
41,				TotalTaxPayable,"3,702,000","4,142,000","7,673,000",,0,"7,836,000","7,184,000","4,060,000","64,188,000","3,786,000","863,000",,,,,,,,,,,,,,,,
42,					IncomeTaxPayable,"3,702,000","4,142,000","7,673,000",,0,"7,836,000","7,184,000","4,060,000","64,188,000","3,786,000","863,000",,,,,,,,,,,,,,,,
43,				DividendsPayable,,,,,,,,,,,,0,,,,,,,,,,,,,,,
44,			CurrentAccruedExpenses,"94,035,000","108,010,000","144,996,000","122,189,000","167,497,000","153,467,000","197,570,000","184,757,000","187,659,000","181,473,000",,,,,"69,551,491",,,"197,587,000",,,,,,,,,
45,		CurrentDebtAndCapitalLeaseObligation,"12,181,000","12,449,000",,,,,,,,,,"223,000","48,953,375","14,114,609","36,774,231","20,467,496","17,999","165,067,000","123,003,000","117,127,000","147,973,000","61,900,000","23,200,000","27,500,000","28,000,000","5,200,000",
46,			CurrentDebt,"896,000",,,,,,,,,,,"223,000","48,953,375","14,114,609","36,774,231","20,467,496","17,999","165,067,000","123,003,000","117,127,000","147,973,000","61,900,000","23,200,000","27,500,000","28,000,000","5,200,000",
47,				OtherCurrentBorrowings,"896,000",,,,,,,,,,,,,,,,,,,,,,,,,,
48,			CurrentCapitalLeaseObligation,"11,285,000","12,449,000",,,,,,,,,,,,,,,,,,,,,,,,,
49,		CurrentDeferredLiabilities,,,,,,,,,,,,,,,,,"7,270,218",,,,,,,,,,
50,			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,"7,270,218",,,,,,,,,,
51,		OtherCurrentLiabilities,,,,,,,,,,,,,"20,825,644","36,470,355","38,985,321","200,165,136","31,102,712","12,585,000",,"12,764,000",,"-100,000","72,100,000","5,700,000","19,500,000","100,000",
52,	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,325,398,000","1,526,339,000","1,796,129,000","1,872,970,000","2,121,360,000","2,513,697,000","2,367,408,000","1,842,882,000","1,730,882,000","1,854,830,000","1,502,353,000","1,478,613,000","2,169,922,292","315,355,050","338,150,047","289,355,739","1,150,268,778","721,128,000","833,425,000","852,608,000","805,720,000","335,900,000","309,400,000","360,000,000","135,800,000","22,500,000",
53,		LongTermProvisions,"7,563,000","9,959,000","10,577,000","10,086,000","12,421,000","14,520,000","14,837,000","17,836,000","17,818,000","16,121,000",,,,,,,,,,,,,,,,,
54,		LongTermDebtAndCapitalLeaseObligation,"1,285,092,000","1,482,161,000","1,706,253,000","1,730,437,000","1,906,934,000","2,180,510,000","1,852,186,000","1,323,268,000","1,218,796,000","1,239,616,000","804,494,000","775,418,000","1,368,348,713","119,826,199","140,879,543","96,838,004","718,869,690","399,422,000","514,878,000","496,200,000","548,096,000","226,800,000","215,000,000","214,600,000","96,300,000","9,700,000",
55,			LongTermDebt,"1,236,210,000","1,427,181,000","1,706,253,000","1,730,437,000","1,906,934,000","2,180,510,000","1,852,186,000","1,323,268,000","1,218,796,000","1,239,616,000","804,494,000","775,418,000","1,368,348,713","119,826,199","140,879,543","96,838,004","718,869,690","399,422,000","514,878,000","496,200,000","548,096,000","226,800,000","215,000,000","214,600,000","96,300,000","9,700,000",
56,			LongTermCapitalLeaseObligation,"48,882,000","54,980,000",,,,,,,,,,,,,,,,,,,,,,,,,
57,		NonCurrentDeferredLiabilities,"21,236,000","25,389,000","72,779,000","118,911,000","174,618,000","303,466,000","486,133,000","487,347,000","485,592,000","587,790,000","667,540,000","703,195,000","770,622,875","181,632,734","174,571,295","192,516,572","431,399,088","321,706,000","318,547,000","356,408,000","257,624,000","106,600,000","94,400,000","145,500,000","39,600,000","12,800,000",
58,			NonCurrentDeferredTaxesLiabilities,"21,236,000","25,389,000","72,779,000","118,911,000","174,618,000","303,466,000","486,133,000","487,347,000","485,592,000","587,790,000","667,540,000","703,195,000","770,622,875","181,632,734","174,571,295","192,516,572","431,399,088","321,706,000","318,547,000","356,408,000","257,624,000","106,600,000","94,400,000","145,500,000","39,600,000","12,800,000",
59,		EmployeeBenefits,"11,507,000","8,830,000","6,520,000","13,536,000","27,387,000","15,201,000","14,252,000","14,431,000","8,676,000","11,303,000",,,,,,,,,,,,,,,,,
60,			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,,"11,303,000",,,,,,,,,,,,,,,,,
61,		OtherNonCurrentLiabilities,,,,,,,,,,,"30,319,000",,"30,950,704","13,896,117","22,699,209","1,163",,,,,,"2,500,000",,"-100,000","-100,000",,
62,TotalEquityGrossMinorityInterest,"1,406,640,000","1,527,432,000","1,557,752,000","1,810,336,000","1,962,118,000","2,121,209,000","2,441,366,000","2,399,343,000","2,171,300,000","2,132,591,000","2,577,919,000","2,584,501,000","2,323,879,310","1,316,672,957","1,217,074,790","1,074,591,232","2,321,741,061","1,749,060,000","1,535,019,000","1,418,472,000","1,206,895,000","908,800,000","768,300,000","696,600,000","353,400,000","130,800,000",
63,	StockholdersEquity,"1,406,640,000","1,527,432,000","1,557,752,000","1,810,336,000","1,962,118,000","2,121,209,000","2,441,366,000","2,399,343,000","2,171,300,000","2,132,591,000","2,577,919,000","2,584,501,000","2,323,879,310","1,316,672,957","1,217,074,790","1,074,591,232","2,321,741,061","1,745,289,000","1,533,000,000","1,417,604,000","1,206,895,000","908,800,000","768,300,000","696,600,000","353,400,000","130,800,000",
64,		CapitalStock,"2,285,738,000","2,296,378,000","2,322,280,000","2,319,293,000","2,319,293,000","2,316,321,000","2,315,539,000","2,305,227,000","2,251,982,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,			CommonStock,"2,285,738,000","2,296,378,000","2,322,280,000","2,319,293,000","2,319,293,000","2,316,321,000","2,315,539,000","2,305,227,000","2,251,982,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,		AdditionalPaidInCapital,"72,915,000","66,255,000","52,332,000","44,037,000","38,937,000","35,800,000","31,109,000","29,175,000","24,474,000","2,266,613,000","2,781,494,000","2,774,771,000","2,356,588,150","1,442,782,799","1,412,293,802","1,377,875,334","1,274,966,403","936,529,000","912,916,000","887,160,000","864,495,000","627,900,000","508,000,000","489,700,000","256,000,000","75,800,000",
67,		RetainedEarnings,"-1,089,594,000","-969,456,000","-978,874,000","-684,604,000","-552,568,000","-397,013,000","48,426,000","88,416,000","-44,621,000","-83,160,000","169,318,000","107,227,000","-48,068,237","-126,109,842","-195,219,012","-303,284,103","1,041,683,465","808,760,000","620,084,000","530,444,000","342,400,000","280,900,000","260,300,000","206,900,000","97,400,000","55,000,000",
68,		GainsLossesNotAffectingRetainedEarnings,"137,581,000","134,255,000","162,014,000","131,610,000","156,456,000","166,101,000","46,292,000","-23,475,000","-60,535,000","-50,862,000","-372,893,000","-297,497,000","15,358,184",,,,"5,089,993",,,,,,,,,,
69,			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,"4,136,717",,,,"-20,933,525",,,,,,,,,,
70,			OtherEquityAdjustments,,,,,,,,,,,,,"11,221,467",,,,"26,023,518",,,,,,,,,,
71,		OtherEquityInterest,,,,,,,,,,,,,"1,213",,,1,"1,200",,,,,,,,,,
72,	MinorityInterest,,,,,,,,,,,,,,,,,,"3,771,000","2,019,000","868,000",,,,,,,
73,TotalCapitalization,"2,642,850,000","2,954,613,000","3,264,005,000","3,540,773,000","3,869,052,000","4,301,719,000","4,293,552,000","3,722,611,000","3,390,096,000","3,372,207,000","3,382,413,000","3,359,919,000","3,692,228,023","1,436,499,156","1,357,954,333","1,171,429,236","3,040,610,751","2,144,711,000","2,047,878,000","1,913,804,000","1,754,991,000","1,135,600,000","983,300,000","911,200,000","449,700,000","140,500,000",
74,CommonStockEquity,"1,406,640,000","1,527,432,000","1,557,752,000","1,810,336,000","1,962,118,000","2,121,209,000","2,441,366,000","2,399,343,000","2,171,300,000","2,132,591,000","2,577,919,000","2,584,501,000","2,323,879,310","1,316,672,957","1,217,074,790","1,074,591,232","2,321,741,061","1,745,289,000","1,533,000,000","1,417,604,000","1,206,895,000","908,800,000","768,300,000","696,600,000","353,400,000","130,800,000",
75,CapitalLeaseObligations,"60,167,000","67,429,000",,,,,,,,,,,,,,,,,,,,,,,,,
76,NetTangibleAssets,"1,378,974,000","1,495,686,000","1,522,351,000","1,577,053,000","1,751,403,000","1,909,367,000","2,218,345,000","2,083,070,000","1,854,647,000","1,762,474,000","1,834,656,000","1,820,792,000","1,476,674,356","1,035,606,317","935,950,605","807,298,524","1,394,662,827","1,152,584,000","913,699,000","798,223,000","656,393,000","604,400,000","508,500,000","487,600,000","282,000,000","130,800,000",
77,WorkingCapital,"175,423,000","201,696,000","240,539,000","232,121,000","230,874,000","536,815,000","653,630,000","305,783,000","278,021,000","610,429,000","460,149,000","320,860,000","345,329,043","140,374,416","166,484,157","152,754,971","557,311,015","248,261,000","210,256,000","215,919,000","157,736,000","162,900,000","91,200,000","151,900,000","39,800,000","67,000,000",
78,InvestedCapital,"2,643,746,000","2,954,613,000","3,264,005,000","3,540,773,000","3,869,052,000","4,301,719,000","4,293,552,000","3,722,611,000","3,390,096,000","3,372,207,000","3,382,413,000","3,360,142,000","3,741,181,398","1,450,613,765","1,394,728,564","1,191,896,732","3,040,628,750","2,309,778,000","2,170,881,000","2,030,931,000","1,902,964,000","1,197,500,000","1,006,500,000","938,700,000","477,700,000","145,700,000",
79,TangibleBookValue,"1,378,974,000","1,495,686,000","1,522,351,000","1,577,053,000","1,751,403,000","1,909,367,000","2,218,345,000","2,083,070,000","1,854,647,000","1,762,474,000","1,834,656,000","1,820,792,000","1,476,674,356","1,035,606,317","935,950,605","807,298,524","1,394,662,827","1,152,584,000","913,699,000","798,223,000","656,393,000","604,400,000","508,500,000","487,600,000","282,000,000","130,800,000",
80,TotalDebt,"1,297,273,000","1,494,610,000","1,706,253,000","1,730,437,000","1,906,934,000","2,180,510,000","1,852,186,000","1,323,268,000","1,218,796,000","1,239,616,000","804,494,000","775,641,000","1,417,302,088","133,940,808","177,653,774","117,305,500","718,887,689","564,489,000","637,881,000","613,327,000","696,069,000","288,700,000","238,200,000","242,100,000","124,300,000","14,900,000",
81,NetDebt,"1,128,334,000","1,352,480,000","1,609,627,000","1,665,356,000","1,791,229,000","1,735,751,000","1,360,705,000","1,242,662,000","1,066,028,000","772,140,000","547,663,000","644,842,000","1,355,791,646","133,940,808","177,653,774","117,305,500","596,875,450","543,119,000","620,566,000","600,096,000","675,367,000","283,100,000","135,600,000","200,700,000","123,800,000",,
82,ShareIssued,"13,459,593","13,864,990","14,689,091","14,661,942","14,661,942","14,645,604","14,640,996","14,598,983","13,823,788","13,804,089","13,784,333","13,781,779","8,002,103","6,279,395","6,287,896","6,217,646","6,217,646",,,,,,,,,,
83,OrdinarySharesNumber,"13,459,593","13,864,990","14,689,091","14,661,942","14,661,942","14,645,604","14,640,996","14,598,983","13,823,788","13,804,089","13,784,333","13,781,779","8,002,103","6,279,395","6,287,896","6,217,646","6,217,646",,,,,,,,,,
0,TotalRevenue,"935,753,000","1,541,320,000","1,541,189,000","1,321,224,000","951,411,000","1,555,624,000","2,350,538,000","2,029,977,000","2,040,741,000","1,951,027,000","1,429,653,000","1,197,446,000","1,101,890,481","1,009,200,516","1,437,583,877","1,269,178,974","2,325,215,983","1,917,933,000","1,689,150,000","1,953,563,000","1,355,453,000","511,400,000","693,900,000","1,012,500,000","455,000,000","163,100,000","804,342,000"
1,	OperatingRevenue,"935,753,000","1,541,320,000","1,541,189,000","1,321,224,000","951,411,000","1,555,624,000","2,350,538,000","2,029,977,000","2,040,741,000","1,951,027,000","1,429,653,000","1,197,446,000","1,101,890,481","1,009,200,516","1,437,583,877","1,269,178,974","2,325,215,983","1,917,933,000","1,689,150,000","1,953,563,000","1,355,453,000","511,400,000","693,900,000","1,012,500,000","455,000,000","163,100,000","804,342,000"
2,CostOfRevenue,"899,742,000","1,372,583,000","1,433,531,000","1,303,917,000","998,954,000","1,410,995,000","1,854,496,000","1,581,796,000","1,550,826,000","1,131,022,000","886,748,000","692,243,000","598,181,156","516,093,952","688,207,130","641,804,861","1,471,227,502","1,273,434,000","1,190,991,000","1,238,128,000","869,479,000","345,500,000","449,000,000","619,400,000","314,900,000","111,800,000","824,218,000"
3,GrossProfit,"36,011,000","168,737,000","107,658,000","17,307,000","-47,543,000","144,629,000","496,042,000","448,181,000","489,915,000","820,005,000","542,905,000","505,203,000","503,709,325","493,106,564","749,376,747","627,374,113","853,988,481","644,499,000","498,159,000","715,435,000","485,974,000","165,900,000","244,900,000","393,100,000","140,100,000","51,300,000","-19,876,000"
4,OperatingExpense,"70,869,000","124,273,000","98,187,000","90,072,000","102,682,000","303,262,000","271,040,000","142,507,000","319,117,000","491,317,000","290,241,000","318,375,000","151,004,128","136,755,388","154,098,322","144,483,080","429,535,637","347,389,000","339,138,000","331,058,000","247,890,000","102,800,000","128,200,000","131,900,000","54,600,000","20,000,000","85,658,000"
5,	SellingGeneralAndAdministration,"70,869,000","104,010,000","112,387,000","90,072,000","110,287,000","136,776,000","144,341,000","142,507,000","126,648,000","124,941,000","107,522,000","98,202,000","67,174,599","56,032,377","81,217,381","76,397,255","173,672,906","136,747,000","158,490,000","153,498,000","102,848,000","41,300,000","51,100,000","59,300,000","29,400,000","12,300,000","85,658,000"
6,		GeneralAndAdministrativeExpense,"70,869,000","104,010,000","112,387,000","90,072,000","110,287,000","136,776,000","144,341,000","142,507,000","126,648,000",,,,,,,,,,,,,,,,,,"85,658,000"
7,			OtherGandA,"70,869,000","104,010,000","112,387,000","90,072,000","110,287,000","136,776,000","144,341,000","142,507,000","126,648,000",,,,,,,,,,,,,,,,,,"85,658,000"
8,	ResearchAndDevelopment,,,,,,,,,,,,,,,,,"48,759,299","42,419,000","34,862,000","32,440,000","20,288,000","3,600,000",,,,,
9,	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"251,483,000","182,719,000","138,000,000","83,829,529","78,325,554","73,233,924","71,560,647","203,828,894","170,788,000","141,429,000","176,905,000","124,754,000","57,900,000","77,100,000","72,600,000","25,200,000","7,700,000",
10,		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"251,483,000",,,"83,829,529","78,325,554","73,233,924","71,560,647","203,828,894","170,788,000","141,429,000","176,905,000","124,754,000","57,900,000","77,100,000","72,600,000","25,200,000","7,700,000",
11,			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,"145,120,000",,,,,,,
12,			Amortization,,,,,,,,,,,,,,,,,,,,"31,785,000",,,,,,,
13,				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,"31,785,000",,,,,,,
14,	OtherOperatingExpenses,,"20,263,000","-14,200,000",,"-7,605,000","166,486,000","126,699,000",,"192,469,000","114,893,000",,"82,173,000",,"2,397,457","-352,983","-3,474,822","3,274,538","-2,565,000","4,357,000","-31,785,000",,,,,,,
15,OperatingIncome,"-34,858,000","44,464,000","9,471,000","-72,765,000","-150,225,000","-158,633,000","225,002,000","305,674,000","170,798,000","328,688,000","252,664,000","186,828,000","352,705,197","356,351,176","595,278,425","482,891,033","424,452,844","297,110,000","159,021,000","384,377,000","238,084,000","63,100,000","116,700,000","261,200,000","85,500,000","31,300,000","-105,534,000"
16,NetNonOperatingInterestIncomeExpense,"-107,468,000","-118,453,000","-127,178,000","-137,928,000","-146,360,000","-121,043,000","-109,701,000","-93,248,000","-86,680,000","-115,332,000","-211,327,000","-147,401,000",,,,,,,,,,,,,,,"-101,949,000"
17,	InterestIncomeNonOperating,"739,000","1,576,000","1,444,000","1,858,000","3,445,000","17,861,000","987,000","967,000","1,933,000",,,,,,,,,,,,,,,,,,
18,	InterestExpenseNonOperating,"102,004,000","114,140,000","122,188,000","129,464,000","138,561,000","133,161,000","107,205,000","89,872,000","85,251,000","115,332,000","211,327,000","147,401,000",,,,,,,,,,,,,,,"96,485,000"
19,	TotalOtherFinanceCost,"6,203,000","5,889,000","6,434,000","10,322,000","11,244,000","5,743,000","3,483,000","4,343,000","3,362,000",,,,,,,,,,,,,,,,,,
20,OtherIncomeExpense,"33,142,000","65,650,000","-205,889,000","-21,364,000","-12,001,000","-286,496,000","-94,224,000","9,112,000","-56,441,000","27,428,000","12,712,000","122,846,000","2,041,039","-2,398,451","760,718","-156,915,920","1,624,670","5,920,000","-3,418,000","2,911,000","40,000","-900,000","14,700,000","-100,000","-100,000","-300,000","35,769,000"
21,	GainOnSaleOfSecurity,"-4,542,000","8,722,000","-4,017,000","2,970,000","-6,008,000","33,251,000","946,000","9,112,000","-3,753,000","23,674,000",,,,,,,,,,,,,,,,,"-2,419,000"
