,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017
0,TotalAssets,"3,171,100,000","3,280,000,000","2,913,700,000","1,672,300,000"
1,"	CurrentAssets","140,800,000","277,900,000","208,600,000","225,500,000"
2,"		CashCashEquivalentsAndShortTermInvestments","19,200,000","59,100,000","32,100,000","168,400,000"
3,"			CashAndCashEquivalents","19,200,000","59,100,000","27,900,000","164,000,000"
4,"			OtherShortTermInvestments",,0,"4,200,000","4,400,000"
5,"		Receivables","99,000,000","110,500,000","88,000,000","5,100,000"
6,"			AccountsReceivable","22,900,000","40,200,000","25,100,000",
7,"				GrossAccountsReceivable",,"40,300,000","25,200,000",
8,"				AllowanceForDoubtfulAccountsReceivable",,"-100,000","-100,000",
9,"			TaxesReceivable","14,200,000","23,800,000","15,900,000",
10,"			OtherReceivables","27,000,000","37,900,000","47,000,000","5,100,000"
11,"			DuefromRelatedPartiesCurrent","34,900,000","8,600,000",,
12,"		PrepaidAssets","6,400,000","8,100,000","10,800,000","2,600,000"
13,"		RestrictedCash",0,"69,400,000","63,400,000","39,100,000"
14,"		CurrentDeferredAssets","7,200,000","21,700,000","9,200,000","10,300,000"
15,"		AssetsHeldForSaleCurrent","4,500,000","3,000,000",,
16,"		OtherCurrentAssets","4,500,000","6,100,000","5,100,000",
17,"	TotalNonCurrentAssets","3,030,300,000","3,002,100,000","2,705,100,000","1,446,800,000"
18,"		NetPPE","2,967,000,000","2,954,200,000","2,649,400,000","1,426,100,000"
19,"			GrossPPE","2,967,000,000","2,954,200,000","2,649,400,000","1,426,100,000"
20,"				MineralProperties",,"2,867,700,000",,
21,"				BuildingsAndImprovements","136,800,000","263,600,000","361,800,000","642,700,000"
22,"				OtherProperties","2,830,200,000","2,690,600,000","2,287,600,000","783,400,000"
23,"			AccumulatedDepreciation",,"-184,400,000",,
24,"		InvestmentsAndAdvances","62,700,000","31,400,000","31,000,000","20,700,000"
25,"			LongTermEquityInvestment","62,700,000","31,400,000",,
26,"			InvestmentinFinancialAssets",,0,"31,000,000","20,700,000"
