,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps
0,2021,2021-05-30,1348987000.0,2060000,-26264000,1229174000.0,519931000.0,218375000.0,90097000.0,,,"CAL-MAINE FOODS, INC.",0000016160,0.04
1,2020,2020-05-31,1351609000.0,18391000,1269000,1206694000.0,522251000.0,187216000.0,93183000.0,,1009675000.0,"CAL-MAINE FOODS, INC.",0000016160,0.38
2,2019,2019-06-02,1361188000.0,54229000,45781000,1156278000.0,567753000.0,172237000.0,74907000.0,641000.0,986624000.0,"CAL-MAINE FOODS, INC.",0000016160,1.12
3,2018,,,125932000,100507000,1150447000.0,587520000.0,168644000.0,107838000.0,2554000.0,953333000.0,"CAL-MAINE FOODS, INC.",0000016160,2.6
4,2017,,,-74278000,-134146000,1033094000.0,436206000.0,160692000.0,64679000.0,6113000.0,842687000.0,CAL-MAINE FOODS INC,0000016160,-1.54
5,2016,,,316041000,471877000,1111765000.0,626283000.0,154799000.0,83451000.0,9250000.0,915275000.0,CAL-MAINE FOODS INC,0000016160,6.56
6,2015,,,161254000,234767000,928653000.0,508964000.0,146260000.0,101546000.0,40795000.0,703564000.0,CAL-MAINE FOODS INC,0000016160,3.35
7,2014,,,109207000,146052000,811661000.0,445393000.0,146117000.0,121101000.0,50877000.0,593833000.0,CAL-MAINE FOODS INC,0000016160,2.27
8,2013,,,50423000,59593000,745627000.0,414881000.0,147993000.0,130195000.0,54647000.0,517732000.0,CAL-MAINE FOODS INC,0000016160,1.05
9,2012,,,89735000,88652000,726316000.0,442202000.0,117158000.0,140656000.0,64762000.0,479125000.0,CAL-MAINE FOODS INC,0000016160,3.76
10,2011,,,60839000,83483000,640843000.0,355041000.0,110021000.0,107482000.0,76418000.0,418906000.0,CAL MAINE FOODS INC,0000016160,2.55
11,2010,,,67823000,102604000,,,,,,,CAL MAINE FOODS INC,0000016160,2.85
