,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,799000.0,-10206000.0,-9609000.0,14522000.0,10342000.0,,1814000.0,,"YIELD10 BIOSCIENCE, INC.",0001121702,9532000,
1,2019,2020-01-01,806000.0,-12956000.0,-8596000.0,16718000.0,11684000.0,,2207000.0,,"YIELD10 BIOSCIENCE, INC.",0001121702,-4085000,
2,2018,2019-01-01,556000.0,-9185000.0,-9319000.0,12960000.0,6377000.0,,1641000.0,,"YIELD10 BIOSCIENCE, INC.",0001121702,5698000,
3,2017,2018-01-01,944000.0,-9396000.0,-9283000.0,16882000.0,14917000.0,,2375000.0,,"YIELD10 BIOSCIENCE, INC.",0001121702,13502000,-3.29
4,2016,,,-7604000.0,-10248000.0,10748000.0,7860000.0,0.0,2758000.0,,"YIELD10 BIOSCIENCE, INC.",0001121702,6369000,-2.73
5,2015,,,-23681000.0,-12469000.0,17088000.0,14850000.0,51000.0,3910000.0,,"YIELD10 BIOSCIENCE, INC.",0001121702,13028000,-0.95
6,2014,,,-29534000.0,-26829000.0,23135000.0,21965000.0,586000.0,4189000.0,,"YIELD10 BIOSCIENCE, INC.",0001121702,18796000,-2.88
7,2013,,,-30506000.0,-28540000.0,26738000.0,25231000.0,1921000.0,6195000.0,,"METABOLIX, INC.",0001121702,20398000,-5.31
8,2012,,,,3929000.0,53510000.0,48955000.0,3204000.0,5984000.0,,"METABOLIX, INC.",0001121702,47340000,0.11
9,2011,,,,-38861000.0,82912000.0,78439000.0,,7165000.0,,"METABOLIX, INC.",0001121702,39463000,-1.24
10,2010,,,,-38939000.0,66771000.0,63256000.0,,6395000.0,,"METABOLIX, INC.",0001121702,23676000,-1.45
11,2009,,,,-38729000.0,,,,,,"METABOLIX, INC.",0001121702,55044000,
12,2008,,,,,,,,,,"METABOLIX, INC.",0001121702,59091000,
