,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps
0,2020,2021-01-01,4642100000.0,551500000,902200000,10186400000.0,4375600000.0,1095600000.0,2829000000.0,2929500000.0,2961800000.0,FMC CORPORATION,0000037785,4.24
1,2019,2020-01-01,4609800000.0,477400000,821600000,9872700000.0,4074800000.0,1017000000.0,2723900000.0,3031100000.0,2532300000.0,FMC CORPORATION,0000037785,3.64
2,2018,2019-01-01,4285300000.0,502100000,740900000,9974300000.0,4030200000.0,1025500000.0,2993400000.0,2145000000.0,3121100000.0,FMC CORPORATION,0000037785,3.72
3,2017,2018-01-01,2531200000.0,535800000,158500000,9206300000.0,3652700000.0,992500000.0,2209400000.0,2993000000.0,2681800000.0,FMC CORPORATION,0000037785,3.99
4,2016,2017-01-01,2538900000.0,209100000,266600000,6139300000.0,2849200000.0,478900000.0,1438200000.0,1798800000.0,1957700000.0,FMC CORPORATION,0000037785,1.56
5,2015,,,489000000,-146500000,6325900000.0,2971900000.0,800200000.0,1453300000.0,2036300000.0,1865700000.0,FMC CORPORATION,0000037785,3.66
6,2014,,,307500000,414800000,5326000000.0,2934400000.0,607600000.0,1910400000.0,1138900000.0,1530500000.0,FMC CORPORATION,0000037785,2.3
7,2013,,,293900000,538700000,5235200000.0,2945000000.0,688400000.0,1986700000.0,1154100000.0,1519800000.0,FMC CORPORATION,0000037785,2.16
8,2012,,,416200000,639100000,4373900000.0,2181900000.0,642400000.0,1135500000.0,908800000.0,1480300000.0,FMC CORPORATION,0000037785,3.01
9,2011,,,365900000,587400000,3743500000.0,1869400000.0,470300000.0,919900000.0,779100000.0,1240600000.0,FMC CORPORATION,0000037785,2.57
10,2010,,,172500000,387100000,3319900000.0,1646200000.0,347800000.0,963400000.0,503000000.0,1131500000.0,FMC CORPORATION,0000037785,1.19
11,2009,,,228500000,334700000,3136200000.0,1487700000.0,350500000.0,709200000.0,588000000.0,1076400000.0,FMC CORPORATION,0000037785,3.15
12,2008,,,304600000,500700000,2993900000.0,1432800000.0,380800000.0,759100000.0,592900000.0,902900000.0,FMC Corporation,0000037785,4.1
13,2007,,,132400000,228000000,,,,,,,FMC Corporation,0000037785,1.74
