name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988
NetNonOperatingInterestIncomeExpense,"-180,600,000","-182,900,000","-166,100,000","-138,100,000","-112,400,000","-97,800,000","-107,600,000","18,800,000","18,700,000","-5,100,000","-49,600,000","-43,300,000",,,,,,,,,,,,,,,,,,,,,
"	InterestIncomeNonOperating","33,500,000","33,100,000","49,700,000","33,200,000","28,200,000","35,800,000","21,300,000","18,800,000","20,100,000","22,500,000","16,100,000","46,900,000",,,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","214,100,000","216,000,000","215,800,000","171,300,000","140,600,000","133,600,000","128,900,000",0,"1,400,000","27,600,000","65,700,000","90,200,000",,,,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,"182,900,000","166,100,000",,,,,"-18,800,000","-18,700,000",,,"-43,300,000",,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-51,400,000","-1,440,400,000","-210,700,000","46,400,000","35,800,000","-77,700,000","-95,900,000","-13,900,000","-64,700,000","612,200,000","-31,500,000","-548,100,000","71,900,000","80,300,000","-341,300,000","72,900,000","-23,700,000","-7,400,000","-26,200,000","1,900,000","-689,500,000","-216,300,000","6,200,000","5,700,000","-32,800,000","14,700,000","25,700,000",,"24,500,000","18,100,000","6,600,000","2,300,000","18,900,000"
"	GainOnSaleOfSecurity","-64,300,000","20,200,000","-191,900,000","49,900,000","40,100,000","-60,500,000","79,100,000","-15,900,000","16,900,000","-56,300,000","-32,400,000",,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest",,,,,,,,0,0,"685,600,000",0,"-673,400,000","124,000,000","41,300,000","48,400,000","55,900,000",,,,,,,,,,,,,,,,,
"	SpecialIncomeCharges",0,"-1,462,100,000",,,0,,"-109,000,000",,"-81,600,000","-17,100,000","900,000","125,300,000","-52,100,000","39,000,000","-389,700,000","17,000,000","-23,700,000","-7,400,000","-26,200,000","1,900,000","-689,500,000","-216,300,000","6,200,000","5,700,000","-32,800,000","14,700,000","25,700,000",,"24,500,000","18,100,000","6,600,000","2,300,000","18,900,000"
"		RestructuringAndMergernAcquisition",,,,,0,,"125,400,000",,,,,,"18,300,000","-2,100,000","287,600,000",,"6,500,000",,"11,000,000",,,,,,,,,,,,,,
"		WriteOff",0,"1,462,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges",,,,,,,,,,,,,"33,800,000","-36,900,000","102,100,000",,"17,200,000",,"15,200,000",,,,,,,,,,,,,,
"		GainOnSaleOfBusiness",,,,,0,,"16,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"		GainOnSaleOfPPE",,,,,0,,"16,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","12,900,000","1,500,000","-18,800,000","-3,500,000","-4,300,000","-17,200,000","-66,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"180,900,000","-1,256,100,000","551,500,000","374,000,000","242,400,000","1,103,300,000","1,217,300,000","2,214,500,000","2,628,900,000","3,271,300,000","1,189,700,000","2,905,700,000","2,682,400,000","505,700,000","-160,100,000","214,900,000","-74,100,000","16,900,000","-30,700,000","131,100,000","-465,700,000","141,600,000","131,300,000","322,000,000","238,400,000","207,400,000","7,800,000","-177,300,000","141,400,000","152,800,000","127,600,000","214,900,000","190,900,000"
TaxProvision,"-578,500,000","-224,700,000","77,100,000","494,900,000","-74,200,000","99,100,000","184,700,000","341,000,000","711,400,000","752,800,000","347,300,000","649,300,000","714,900,000","123,400,000","5,300,000","98,300,000","-36,500,000","30,100,000","-2,800,000","46,800,000","145,400,000","84,500,000","43,500,000","117,500,000","94,100,000","80,300,000","11,400,000","-57,300,000","50,500,000","57,000,000","45,000,000","77,600,000","79,200,000"
EarningsFromEquityInterestNetOfTax,"-93,800,000","-59,400,000","-4,500,000","16,700,000","-15,400,000","-2,400,000","-2,200,000","18,300,000","13,300,000","-5,000,000","-10,900,000","100,100,000",,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"666,100,000","-1,067,400,000","470,000,000","-107,200,000","297,800,000","1,000,400,000","1,006,300,000","1,888,700,000","1,930,200,000","2,514,600,000","827,100,000","2,350,200,000","2,082,800,000","419,700,000","-132,500,000","165,600,000","-135,400,000","-110,200,000","-66,500,000","-345,000,000","-773,300,000","-9,000,000","62,900,000","193,100,000","144,300,000","114,700,000","-28,800,000","-167,100,000","-74,600,000","95,800,000","82,600,000","137,300,000","97,400,000"
"	NetIncome","666,100,000","-1,067,400,000","470,000,000","-107,200,000","297,800,000","1,000,400,000","1,028,600,000","1,888,700,000","1,930,200,000","2,514,600,000","827,100,000","2,350,200,000","2,082,800,000","419,700,000","-121,400,000","165,600,000","-135,400,000","-110,200,000","-66,500,000","-345,000,000","-773,300,000","-9,000,000","62,900,000","193,100,000","144,300,000","114,700,000","-28,800,000","-167,100,000","-74,600,000","95,800,000","82,600,000","137,300,000","111,700,000"
"		NetIncomeIncludingNoncontrollingInterests","665,600,000","-1,090,800,000","469,900,000","-104,200,000","301,200,000","1,001,800,000","1,030,400,000","1,891,800,000","1,930,800,000","2,513,500,000","831,500,000","2,356,500,000","2,091,500,000","423,600,000","-117,000,000","170,500,000","-169,100,000","-126,400,000","-107,200,000","-357,400,000","-773,400,000","5,100,000","187,300,000","348,500,000","335,800,000","243,100,000","26,300,000","-167,100,000","-74,600,000","95,800,000","82,600,000","137,300,000","111,700,000"
"			NetIncomeContinuousOperations","665,600,000","-1,090,800,000","469,900,000","-104,200,000","301,200,000","1,001,800,000","1,030,400,000","1,891,800,000","1,930,800,000","2,513,500,000","831,500,000","2,356,500,000","2,082,800,000","419,700,000","-121,400,000","167,600,000","-37,600,000","-13,200,000","-27,900,000","84,300,000","-611,100,000","57,100,000","87,800,000","204,500,000","144,300,000","127,100,000","-3,600,000","-120,000,000","90,900,000","95,800,000","82,600,000","137,300,000","111,700,000"
"			NetIncomeDiscontinuousOperations",,,,,,,,,,,,,,,,,"-92,900,000","-96,400,000",,"-429,300,000","-155,200,000","-69,100,000",,,,,,,,,,,
"			NetIncomeExtraordinary",,,,,,,,,,,,,,,,"-2,000,000","-4,900,000","-600,000","-24,500,000",,"-7,500,000",,,,,"-5,900,000",,"-47,100,000","-165,500,000",,,,
"			NetIncomeFromTaxLossCarryforward",,,,,,,,,,,,,,,,,,,"-14,100,000",,"500,000","3,000,000","-24,900,000","-11,400,000",,"-6,500,000","-25,200,000",,,,,,
"		MinorityInterests","500,000","23,400,000","100,000","-3,000,000","-3,400,000","-1,400,000","-1,800,000","-3,100,000","-600,000","1,100,000","-4,400,000","-6,300,000","-8,700,000","-3,900,000","-4,400,000","-4,900,000","33,700,000","16,200,000","40,700,000","12,400,000","100,000","-14,100,000","-124,400,000","-155,400,000","-191,500,000","-128,400,000","-55,100,000",,,,,,
"	PreferredStockDividends",,,,,,,,,,,,,,,"11,100,000",,,,,,,,,,,,,,,,,,"14,300,000"
"	OtherunderPreferredStockDividend",,,,,0,0,"22,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"666,100,000","-1,067,400,000","470,000,000","-107,200,000","297,800,000","1,000,400,000","1,006,300,000","1,888,700,000","1,930,200,000","2,514,600,000","827,100,000","2,350,200,000","2,082,800,000","419,700,000","-132,500,000","165,600,000","-135,400,000","-110,200,000","-66,500,000","-345,000,000","-773,300,000","-9,000,000","62,900,000","193,100,000","144,300,000","114,700,000","-28,800,000","-167,100,000","-74,600,000","95,800,000","82,600,000","137,300,000","97,400,000"
BasicEPS,,-2.78,1.22,-0.31,0.85,2.79,2.69,4.435,4.537,5.64,1.86,5.287,4.7,0.97,-0.35,0.48,-1.22,-0.97,-0.57,-3,-6.75,-0.08,0.67,2.03,1.56,1.94,-0.57,-3.79,-1.69,1.93,1.57,2.64,1.94
DilutedEPS,,-2.78,1.22,-0.31,0.85,2.78,2.68,4.42,4.42,5.62,1.85,5.27,4.67,0.95,-0.35,0.46,-1.22,-0.97,-0.57,-3,-6.75,-0.08,0.67,2.03,1.56,1.94,-0.57,-3.79,-1.69,1.93,1.57,2.64,1.94
BasicAverageShares,,"383,800,000","384,800,000","350,900,000","350,400,000","358,500,000","374,100,000","425,817,089","425,470,377","446,000,000","445,100,000","444,200,000","442,700,000","434,300,000","382,200,000","327,800,000","114,800,000","114,600,000","114,500,000","114,400,000","114,562,963","112,500,000","93,880,597","95,123,153","92,500,000","59,123,711","50,526,316","44,089,710","44,142,012","49,637,306","52,611,465","52,007,576","50,206,186"
DilutedAverageShares,,"383,800,000","386,400,000","350,900,000","351,700,000","360,300,000","375,600,000","426,900,000","436,500,000","447,500,000","446,600,000","446,200,000","445,700,000","440,300,000","382,200,000","360,400,000","114,800,000","114,600,000","114,500,000","114,800,000","114,562,963","112,500,000","93,880,597","95,123,153","92,500,000","59,123,711","50,526,316","44,089,710","44,142,012","49,637,306","52,611,465","52,007,576","50,206,186"
TotalOperatingIncomeAsReported,"412,900,000","-1,094,900,000","928,300,000","465,700,000","319,000,000","1,278,800,000","1,311,800,000","2,209,600,000","2,611,100,000","2,664,200,000","1,270,800,000","2,400,900,000","2,806,700,000","616,300,000","105,800,000","318,500,000","126,400,000","182,300,000","96,100,000","229,400,000","378,200,000","548,000,000","303,000,000","522,800,000","527,500,000","373,300,000","141,600,000","-126,400,000","161,400,000","175,800,000","168,300,000","265,900,000","208,200,000"
TotalExpenses,"8,268,800,000","8,539,100,000","8,659,000,000","6,943,700,000","6,843,800,000","7,616,500,000","7,635,000,000","7,764,500,000","8,432,900,000","7,273,600,000","5,488,300,000","7,897,100,000","6,987,600,000","5,159,500,000","4,912,400,000","4,078,200,000","2,057,700,000","1,875,100,000","1,851,600,000","1,866,500,000","1,991,100,000","2,148,200,000","2,685,600,000","2,459,200,000","2,453,500,000","1,550,700,000","1,299,900,000","1,023,500,000","897,100,000","955,400,000","937,400,000","955,800,000","877,400,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"666,100,000","-1,067,400,000","470,000,000","-107,200,000","297,800,000","1,000,400,000","1,028,600,000","1,888,700,000","1,930,200,000","2,514,600,000","827,100,000","2,350,200,000","2,082,800,000","419,700,000","-121,400,000","167,600,000","-130,500,000","-109,600,000","-27,900,000","-345,000,000","-766,300,000","-12,000,000","87,800,000","204,500,000","144,300,000","127,100,000","-3,600,000","-120,000,000","90,900,000","95,800,000","82,600,000","137,300,000","111,700,000"
NormalizedIncome,"713,039,000","116,399,900","635,034,000","-137,140,000","273,740,000","1,055,455,000","1,053,955,200","1,902,151,400","1,977,391,696.15","2,571,109,002.54","849,404,446.50","2,252,899,205.01","2,121,014,565.32","390,216,709.51","112,420,000","157,400,000","-23,380,000","-8,760,000","-4,089,576.55","83,078,260.87","-197,400,000","186,880,000","83,654,074.64","200,879,968.94","164,153,355.71","118,091,465.77","-19,020,000","-120,000,000","75,150,000","84,451,963.35","78,327,586.21","135,830,525.83","100,360,000"
InterestIncome,"33,500,000","33,100,000","49,700,000","33,200,000","28,200,000","35,800,000","21,300,000","18,800,000","20,100,000","22,500,000","16,100,000","46,900,000",,,,,,,,,,,,,,,,,,,,,
InterestExpense,"214,100,000","216,000,000","215,800,000","171,300,000","140,600,000","133,600,000","128,900,000",0,"1,400,000","27,600,000","65,700,000","90,200,000",,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-180,600,000","-182,900,000","-166,100,000","-138,100,000","-112,400,000","-97,800,000","-107,600,000","18,800,000","18,700,000","-5,100,000","-49,600,000","-43,300,000",,,,,,,,,,,,,,,,,,,,,
EBIT,"395,000,000","-1,040,100,000","767,300,000","545,300,000","383,000,000","1,236,900,000","1,346,200,000","2,214,500,000","2,630,300,000","3,298,900,000","1,255,400,000","2,995,900,000","2,825,000,000","614,200,000","393,400,000","318,500,000","132,900,000","182,300,000","107,100,000","229,400,000","378,200,000","548,000,000","303,000,000","522,800,000","527,500,000","373,300,000","141,600,000","-126,400,000","161,400,000","175,800,000","168,300,000","265,900,000","208,200,000"
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReconciledCostOfRevenue,"7,616,800,000","8,009,000,000","8,088,900,000","6,566,600,000","6,352,800,000","7,177,400,000","7,129,200,000","7,213,900,000","8,022,800,000","6,816,000,000","5,065,800,000","7,531,300,000","6,652,100,000","4,847,600,000","4,668,400,000","3,871,200,000","2,009,400,000","1,794,400,000","1,769,800,000","1,592,200,000","1,594,100,000","1,706,100,000","2,066,800,000","2,027,600,000","2,061,500,000","1,341,100,000","1,111,500,000","710,700,000","745,700,000","800,100,000","783,200,000","786,300,000","744,600,000"
ReconciledDepreciation,"847,600,000","882,700,000","883,900,000","665,500,000","711,200,000","739,800,000","750,900,000","604,800,000","508,100,000","447,400,000","445,000,000","359,700,000","356,500,000","313,300,000","270,200,000","180,700,000","171,900,000","173,700,000","165,600,000","171,600,000","232,500,000","251,700,000","183,200,000","184,400,000","168,600,000","134,400,000","122,400,000","61,500,000","83,300,000","90,200,000","92,500,000","99,700,000","78,500,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"666,100,000","-1,067,400,000","470,000,000","-107,200,000","297,800,000","1,000,400,000","1,028,600,000","1,888,700,000","1,930,200,000","2,514,600,000","827,100,000","2,350,200,000","2,082,800,000","419,700,000","-121,400,000","167,600,000","-37,600,000","-13,200,000","-27,900,000","84,300,000","-611,100,000","57,100,000","87,800,000","204,500,000","144,300,000","127,100,000","-3,600,000","-120,000,000","90,900,000","95,800,000","82,600,000","137,300,000","111,700,000"
TotalUnusualItemsExcludingGoodwill,"-64,300,000","-1,441,900,000","-191,900,000","49,900,000","40,100,000","-60,500,000","-29,900,000","-15,900,000","-64,700,000","-73,400,000","-31,500,000","125,300,000","-52,100,000","39,000,000","-389,700,000","17,000,000","-23,700,000","-7,400,000","-26,200,000","1,900,000","-689,500,000","-216,300,000","6,200,000","5,700,000","-32,800,000","14,700,000","25,700,000",,"24,500,000","18,100,000","6,600,000","2,300,000","18,900,000"
TotalUnusualItems,"-64,300,000","-1,441,900,000","-191,900,000","49,900,000","40,100,000","-60,500,000","-29,900,000","-15,900,000","-64,700,000","-73,400,000","-31,500,000","125,300,000","-52,100,000","39,000,000","-389,700,000","17,000,000","-23,700,000","-7,400,000","-26,200,000","1,900,000","-689,500,000","-216,300,000","6,200,000","5,700,000","-32,800,000","14,700,000","25,700,000",,"24,500,000","18,100,000","6,600,000","2,300,000","18,900,000"
NormalizedEBITDA,"1,306,900,000","1,284,500,000","1,843,100,000","1,160,900,000","1,054,100,000","2,037,200,000","2,127,000,000","2,835,200,000","3,203,100,000","3,819,700,000","1,731,900,000","3,230,300,000","3,233,600,000","888,500,000","1,053,300,000","482,200,000","328,500,000","363,400,000","298,900,000","399,100,000","1,300,200,000","1,016,000,000","480,000,000","701,500,000","728,900,000","493,000,000","238,300,000","-64,900,000","220,200,000","247,900,000","254,200,000","363,300,000","267,800,000"
TaxRateForCalcs,0.27,0.179,0.14,0.4,0.4,0.09,0.152,0.154,0.271,0.23,0.292,0.223,0.267,0.244,0.4,0.4,0.4,0.4,0.091,0.357,0.4,0.4,0.331,0.365,0.395,0.387,0.4,0.323,0.357,0.373,0.353,0.361,0.4
TaxEffectOfUnusualItems,"-17,361,000","-258,100,100","-26,866,000","19,960,000","16,040,000","-5,445,000","-4,544,800","-2,448,600","-17,508,303.85","-16,890,997.46","-9,195,553.50","27,999,205.01","-13,885,434.69","9,516,709.51","-155,880,000","6,800,000","-9,480,000","-2,960,000","-2,389,576.55","678,260.87","-275,800,000","-86,520,000","2,054,074.64","2,079,968.94","-12,946,644.30","5,691,465.77","10,280,000",0,"8,750,000","6,751,963.35","2,327,586.21","830,525.83","7,560,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalAssets,"19,789,800,000","19,298,500,000","20,119,200,000","18,633,400,000","16,840,700,000","17,412,400,000","18,283,000,000","18,086,000,000","16,690,400,000","15,786,900,000","12,707,700,000","12,676,200,000","11,819,800,000","9,163,600,000","8,720,600,000","8,444,000,000","3,670,700,000","3,637,100,000","4,248,900,000","4,261,600,000","5,195,900,000","6,456,900,000","4,673,900,000","3,611,600,000","3,436,800,000","2,693,200,000","2,778,300,000","2,055,600,000","1,778,000,000","1,739,300,000","1,584,700,000","1,677,900,000","1,472,100,000"
"	CurrentAssets","3,521,200,000","3,718,200,000","4,237,000,000","4,616,500,000","3,057,700,000","4,144,700,000","5,364,200,000","6,880,500,000","6,581,100,000","6,684,900,000","4,974,800,000","5,307,800,000","4,809,500,000","1,955,500,000","1,580,400,000","1,731,900,000","639,600,000","700,000,000","1,153,200,000","592,900,000","927,900,000","1,482,600,000","1,062,200,000","1,014,400,000","918,200,000","504,400,000","534,000,000","433,400,000","265,800,000","295,600,000","245,500,000","394,500,000","376,900,000"
"		CashCashEquivalentsAndShortTermInvestments","574,000,000","519,100,000","847,700,000","2,153,500,000","673,100,000","1,276,300,000","2,374,600,000","3,697,100,000","3,811,000,000","3,906,400,000","2,922,600,000","2,703,200,000","1,960,700,000","420,600,000","173,300,000","245,000,000","76,800,000","17,700,000","248,700,000","84,500,000","80,800,000","110,600,000","109,700,000","43,200,000","9,600,000","196,100,000","169,000,000","111,600,000","32,600,000","38,800,000","29,600,000","91,500,000","147,300,000"
"			CashAndCashEquivalents","574,000,000","519,100,000","847,700,000","2,153,500,000","673,100,000","1,276,300,000","2,374,600,000","3,697,100,000","3,811,000,000","3,906,400,000","2,523,000,000","2,703,200,000","1,960,700,000","420,600,000","173,300,000","245,000,000","76,800,000","17,700,000","248,700,000","84,500,000","80,800,000","110,600,000","109,700,000","43,200,000","9,600,000","196,100,000","169,000,000","111,600,000","32,600,000","38,800,000","29,600,000","91,500,000","147,300,000"
"			OtherShortTermInvestments",,,,,,,,,,0,"399,600,000",,,,,,,,,,,,,,,,,,,,,,
"		Receivables","1,062,500,000","983,400,000","987,700,000","783,900,000","805,700,000","1,100,000,000","1,006,200,000","1,420,400,000","965,600,000","986,400,000","705,900,000","597,600,000","1,039,200,000","557,000,000","505,800,000","671,700,000","194,800,000","179,000,000","217,600,000","82,500,000","254,200,000","421,500,000","288,100,000","362,500,000","350,200,000","48,600,000","109,100,000","145,100,000","55,300,000","72,800,000","54,900,000","116,500,000","90,500,000"
"			AccountsReceivable","732,500,000","649,300,000","703,700,000","563,600,000","550,800,000","572,700,000","624,900,000","933,900,000","751,600,000","926,000,000","699,900,000",,"972,500,000","516,300,000","505,800,000","671,700,000","194,800,000","179,000,000","217,600,000",,,,,,,,,,,,,,
"				GrossAccountsReceivable",,,,,,,,,"756,500,000","930,000,000",,,,,,,,,,,,,,,,,,,,,,,
"				AllowanceForDoubtfulAccountsReceivable",,,,,,,,,"-4,900,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,,,
"			TaxesReceivable","181,400,000","179,500,000","149,200,000","141,300,000","146,300,000","249,400,000","201,900,000","267,600,000","214,000,000","60,400,000",,,,,,,,,,,,,,,,,,,,,,,
"			DuefromRelatedPartiesCurrent",,,,,,,,,,,"15,200,000",,,,,,,,,,,,,,,,,,,,,,
"			OtherReceivables","149,000,000","158,100,000","136,100,000","81,300,000","111,300,000","283,800,000","182,000,000","223,600,000",,,,,"66,700,000","40,700,000",,,,,,,,,,,,,,,,,,,
"			ReceivablesAdjustmentsAllowances","-400,000","-3,500,000","-1,300,000","-2,300,000","-2,700,000","-5,900,000","-2,600,000","-4,700,000",,,"-9,200,000",,,,,,,,,,,,,,,,,,,,,,
"		Inventory","1,739,200,000","2,076,400,000","2,270,200,000","1,547,200,000","1,391,100,000","1,563,500,000","1,718,300,000","1,557,300,000","1,237,600,000","1,266,400,000","1,002,300,000","1,125,900,000","1,350,900,000","787,400,000","760,900,000","753,400,000","305,700,000","349,100,000","292,300,000","332,600,000","439,600,000","580,600,000","592,800,000","534,200,000","476,700,000","254,400,000","253,100,000","164,300,000","167,800,000","176,600,000","154,900,000","179,400,000","132,400,000"
"			RawMaterials","213,500,000","190,800,000","261,600,000","123,600,000","121,500,000","136,600,000","187,700,000","120,200,000","132,700,000","129,200,000","133,400,000","131,700,000","74,000,000","9,700,000","168,100,000","212,600,000","75,500,000","71,000,000","65,300,000",,,,,,,,,,,,,,
"			WorkInProcess","634,500,000","618,400,000","625,500,000","349,900,000","332,900,000","435,900,000","505,100,000","445,800,000","340,100,000","284,300,000","295,500,000","339,000,000","255,800,000","138,800,000","27,900,000","75,000,000",,,,,,,,,,,,,,,,,
"			FinishedGoods","868,200,000","1,219,300,000","1,343,800,000","1,035,100,000","936,700,000","991,000,000","1,025,500,000","991,300,000","764,800,000","852,900,000","573,400,000","655,200,000","940,400,000","529,000,000","458,200,000","361,600,000","235,300,000","282,700,000","232,400,000",,,,,,,,,,,,,,
"			OtherInventories","23,000,000","47,900,000","39,300,000","38,600,000",,,,,,,,,"80,700,000","109,900,000","106,700,000","104,200,000",,,,,,,,,,,,,,,,,
"			InventoriesAdjustmentsAllowances",,,,,,,,,,,,,,,,,"-5,100,000","-4,600,000","-5,400,000",,,,,,,,,,,,,,
"		PrepaidAssets","80,400,000","110,700,000","86,800,000","69,000,000","99,900,000","123,100,000","63,800,000","98,200,000","132,100,000","157,400,000",,,,,,,,,,,,,,,,,,,,,,,
"		RestrictedCash",,,,,,,,,,,,,,,,,"12,400,000","105,500,000","374,000,000",,,,,,,,,,,,,,
"		CurrentDeferredAssets",,,,,,,"148,700,000","75,700,000","237,800,000","277,800,000","115,700,000","205,400,000","256,900,000","35,000,000","50,500,000","2,200,000","7,100,000","11,600,000","14,100,000",,,,,,,,,,,,,,
"			CurrentDeferredTaxesAssets",,,,,,,"148,700,000","75,700,000","237,800,000","277,800,000","115,700,000","205,400,000","256,900,000","35,000,000","50,500,000","2,200,000","7,100,000","11,600,000","14,100,000",,,,,,,,,,,,,,
"		AssetsHeldForSaleCurrent",,,,,,,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherCurrentAssets","65,100,000","28,600,000","44,600,000","62,900,000","87,900,000","81,800,000","46,600,000","31,800,000","197,000,000","90,500,000","228,300,000","675,700,000","201,800,000","155,500,000","89,900,000","59,600,000","42,800,000","37,100,000","6,500,000","93,300,000","153,300,000","369,900,000","71,600,000","74,500,000","81,700,000","5,300,000","2,800,000","12,400,000","10,100,000","7,400,000","6,100,000","7,100,000","6,700,000"
