name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalAssets,"10,186,400,000","9,872,700,000","9,974,300,000","9,206,300,000","6,139,300,000","6,325,900,000","5,340,500,000","5,235,200,000","4,373,900,000","3,743,500,000","3,319,900,000","3,136,200,000","2,993,900,000","2,733,400,000","2,735,000,000","2,740,000,000","2,978,400,000","2,828,800,000","2,872,000,000","2,477,200,000","3,745,900,000","3,995,800,000","4,166,400,000","4,113,100,000","4,989,800,000","4,301,100,000","3,351,500,000","2,813,100,000","2,826,600,000","2,815,600,000","2,959,200,000","2,819,000,000","2,748,800,000","2,595,100,000","2,685,800,000"
	CurrentAssets,"4,375,600,000","4,074,800,000","4,030,200,000","3,652,700,000","2,849,200,000","2,971,900,000","2,934,400,000","2,945,000,000","2,181,800,000","1,869,400,000","1,646,200,000","1,487,700,000","1,432,800,000","1,194,100,000","1,067,800,000","1,067,300,000","1,072,700,000","1,009,700,000","1,175,700,000","820,300,000","1,329,800,000","1,416,500,000","1,681,700,000","1,715,600,000","2,193,100,000","1,804,900,000","1,376,300,000","1,159,700,000","1,123,000,000","1,179,800,000","1,295,300,000","1,312,000,000","1,316,600,000","1,069,800,000","1,101,200,000"
		CashCashEquivalentsAndShortTermInvestments,"568,900,000","339,100,000","190,800,000","283,000,000","64,200,000","78,600,000","109,500,000","123,200,000","77,100,000","158,900,000","161,500,000","76,600,000","52,400,000","75,500,000","165,500,000","206,400,000","212,400,000","57,000,000","89,600,000","23,400,000","25,100,000","64,000,000","61,700,000","62,700,000","74,800,000","70,900,000","98,400,000","77,500,000","24,300,000","44,200,000","93,000,000","94,500,000","130,800,000","184,600,000","184,200,000"
			CashAndCashEquivalents,"568,900,000","339,100,000","161,700,000","283,000,000","64,200,000","78,600,000","109,500,000","123,200,000","77,100,000","158,900,000","161,500,000","76,600,000","52,400,000","75,500,000","165,500,000","206,400,000","212,400,000","57,000,000","89,600,000","23,400,000","25,100,000","64,000,000","61,700,000","62,700,000","74,800,000","70,900,000","98,400,000","77,500,000","24,300,000","44,200,000","93,000,000","94,500,000","130,800,000","184,600,000","184,200,000"
			OtherShortTermInvestments,,,"29,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,528,000,000","2,460,400,000","2,507,700,000","2,174,000,000","1,957,700,000","1,975,400,000","1,840,700,000","1,565,300,000","1,184,200,000","931,300,000","852,900,000","749,600,000","687,700,000","599,700,000","537,900,000","494,300,000","479,700,000","478,200,000","462,200,000","441,700,000","635,500,000","635,400,000","840,600,000","834,200,000","1,001,900,000","837,800,000","642,800,000","573,200,000","543,500,000","529,700,000","536,500,000","587,400,000","582,800,000","261,000,000","185,500,000"
			AccountsReceivable,"2,330,300,000","2,231,200,000","2,285,200,000","2,043,500,000","1,828,000,000","1,851,400,000","1,751,000,000","1,484,300,000","1,124,500,000","931,300,000","852,900,000","749,600,000","687,700,000","599,700,000","537,900,000","494,300,000","479,700,000","478,200,000","462,200,000","441,700,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"2,358,200,000","2,257,500,000","2,307,600,000","2,082,200,000","1,845,800,000","1,865,300,000","1,788,600,000","1,514,500,000","1,151,700,000","952,800,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-27,900,000","-26,300,000","-22,400,000","-38,700,000","-17,800,000","-13,900,000","-37,600,000","-30,200,000","-27,200,000","-21,500,000",,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"197,700,000","229,200,000","219,300,000","127,300,000","124,600,000","105,300,000","74,900,000","81,000,000","59,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,"3,200,000","3,200,000","5,100,000","18,700,000","14,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,095,600,000","1,017,000,000","1,097,300,000","992,500,000","703,500,000","800,200,000","636,500,000","688,400,000","675,700,000","470,300,000","347,800,000","350,500,000","380,800,000","275,000,000","219,400,000","215,700,000","217,500,000","192,600,000","178,800,000","207,200,000","426,200,000","457,700,000","517,700,000","524,100,000","835,300,000","615,000,000","403,900,000","268,100,000","319,300,000","364,800,000","446,600,000","443,900,000","424,700,000","413,700,000","428,300,000"
			RawMaterials,"165,700,000","217,300,000","221,400,000","224,100,000","294,200,000","335,600,000","261,800,000","297,800,000","259,700,000","171,700,000","122,200,000","135,900,000","131,100,000","73,900,000","65,200,000","56,700,000","61,100,000","70,300,000","53,700,000","65,500,000",,,,,,,,,,,,,,,
			WorkInProcess,"621,900,000","559,400,000","555,400,000","542,400,000","264,600,000","275,400,000","248,800,000","276,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"434,600,000","372,200,000","452,600,000","353,700,000","297,700,000","350,000,000","299,700,000","283,000,000","416,000,000","298,600,000","225,600,000","214,600,000","249,700,000","201,100,000","154,200,000","159,000,000","156,400,000","122,300,000","125,100,000","141,700,000",,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-126,600,000","-131,900,000","-132,100,000","-127,700,000","-153,000,000","-160,800,000","-173,800,000","-169,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"150,600,000","205,100,000","163,400,000","127,500,000","109,000,000","111,600,000","88,400,000","133,400,000","108,100,000","173,400,000","175,300,000","138,000,000","135,000,000","126,900,000","91,300,000",,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,"9,700,000","136,900,000","274,600,000",,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,"0","222,700,000","214,000,000","123,400,000","135,500,000","108,700,000","173,000,000","176,900,000","117,000,000","53,700,000","31,900,000","24,600,000","32,900,000","58,000,000","48,400,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"0","222,700,000","214,000,000","123,400,000","135,500,000","108,700,000","173,000,000","176,900,000","117,000,000","53,700,000","31,900,000","24,600,000","32,900,000","58,000,000","48,400,000",,,,,,,,,,,,,,,
