name,ttm,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalRevenue,"504,552","855,935","837,760","263,867","714,084","431,176","284,750","334,400","127,219","1,000","7,019,000","4,800,000","1,500,000"
	OperatingRevenue,"504,552","855,935","837,760","263,867","714,084","431,176","284,750","334,400","127,219","1,000","7,019,000","4,800,000","1,500,000"
CostOfRevenue,,"0",,,,,,,,"66,000","3,087,000","3,500,000","900,000"
GrossProfit,"504,552","855,935","837,760","263,867","714,084","431,176","284,750","334,400","127,219","67,000","3,932,000","1,300,000","600,000"
OperatingExpense,"593,446","676,159","625,173","372,551","818,251","955,500","988,494","725,333","1,334,344","2,443,000","9,114,000","10,200,000","2,400,000"
	SellingGeneralAndAdministration,"593,446","676,159","625,172","372,551","818,251","955,500","988,494","725,333","1,334,344","2,377,000","6,672,000","10,000,000","2,400,000"
		GeneralAndAdministrativeExpense,,"676,159",,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"66,000","2,442,000","200,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"66,000","2,442,000","200,000",
	OtherOperatingExpenses,,,"1",,,,,,,,,,
OperatingIncome,"-88,894","179,776","212,587","-108,684","-104,167","-524,324","-703,744","-390,933","-1,207,125","-2,376,000","-5,182,000","-8,900,000","-1,800,000"
NetNonOperatingInterestIncomeExpense,,"-46,289",,,,,,,,,,,
	InterestExpenseNonOperating,,"46,289",,,,,,,,,,,
OtherIncomeExpense,"0","-2,433,431",,,,"16,077","-15,000","-453,888","-1,283,455","-1,503,000",,"600,000",
	SpecialIncomeCharges,"-2,457,294","-2,433,431",,,,"16,077","-15,000","-453,888","-1,283,455","-1,503,000",,"600,000",
		ImpairmentOfCapitalAssets,,"2,457,294",,,,,,,,,,,
		OtherSpecialCharges,,"-23,863",,,,,,,,,,,
PretaxIncome,,,,,,,,,,,,,"-1,800,000"
TaxProvision,,,,,,,,,,,,,"-700,000"
NetIncomeCommonStockholders,"-2,591,652","-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-879,275","-2,446,463","-16,128,000","-10,269,000","-7,900,000","-1,100,000"
	NetIncome,"-2,591,652","-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-16,128,000","-10,269,000","-7,900,000","-1,100,000"
		NetIncomeIncludingNoncontrollingInterests,"-2,591,652","-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-16,128,000","-10,751,000","-8,300,000","-1,100,000"
			NetIncomeContinuousOperations,"-2,591,652","-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-3,627,000","-4,455,000","-7,900,000","-1,100,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,"-12,501,000","-5,379,000",,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,"-435,000",,
		MinorityInterests,,,,,,,,,,,"482,000","400,000",
	PreferredStockDividends,,,,,,,,"48,000","40,800",,,,
DilutedNIAvailtoComStockholders,"-2,591,652","-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-879,275","-2,446,463","-16,128,000","-10,269,000","-7,900,000","-1,100,000"
BasicEPS,,"-0.31","0.02","-0.02","-0.02","-0.07","-0.15","-0.38","-1.36","-9.47","-6.35","-6.1","-1.35"
DilutedEPS,,"-0.31","0.02","-0.02","-0.02","-0.07","-0.15","-0.38","-1.36","-9.47","-6.35","-6.1","-1.35"
BasicAverageShares,,"7,502,703","7,502,703","7,502,703","7,472,703","7,431,663","4,668,929","2,286,117","1,800,819","2,037,000","1,678,600","1,292,337","1,444,000"
DilutedAverageShares,,"7,502,703","10,285,560","7,502,703","7,472,703","7,431,663","4,668,929","2,286,117","1,808,000","2,037,000","1,678,600","1,292,337","1,444,000"
