name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,,"964,272,000","1,305,438,000","1,082,826,000","1,236,915,000","2,302,065,000","3,352,252,000","3,232,504,000","4,234,290,000","3,547,012,000","2,695,832,000","2,807,176,000","3,640,784,000","3,446,501,000","2,995,311,000","2,100,239,000","1,382,137,000","1,066,231,000","987,380,000","986,356,000","1,002,329,000","882,600,000","705,900,000","788,200,000","713,200,000","514,300,000","328,000,000","352,000,000","194,900,000","139,700,000","177,400,000","136,200,000","103,700,000","44,000,000","28,800,000","34,700,000","71,600,000"
	OperatingRevenue,,"909,236,000","1,246,058,000","1,036,082,000","1,207,026,000","2,242,200,000","3,261,610,000","3,147,859,000","4,122,311,000","3,431,252,000","2,695,832,000","2,807,176,000","3,640,784,000","3,446,501,000","2,995,311,000","2,100,239,000","1,382,137,000","1,066,231,000","987,380,000","986,356,000","1,002,329,000","882,600,000","705,900,000","788,200,000","713,200,000","514,300,000","328,000,000","352,000,000","194,900,000","139,700,000","177,400,000","136,200,000","103,700,000","44,000,000","28,800,000","34,700,000","71,600,000"
CostOfRevenue,,"989,804,000","1,187,625,000","1,153,551,000","1,206,914,000","1,536,004,000","1,937,110,000","2,194,363,000","3,015,791,000","2,676,093,000","1,476,524,000","1,259,270,000","1,110,626,000","1,133,782,000","1,129,145,000","883,916,000","756,821,000","677,126,000","594,953,000","559,262,000","475,170,000","479,406,000","422,900,000","456,500,000","387,100,000","331,500,000","240,000,000","243,200,000","128,600,000","103,900,000","131,400,000","112,100,000","81,800,000","37,300,000","25,400,000","29,600,000","54,900,000"
GrossProfit,,"-25,532,000","117,813,000","-70,725,000","30,001,000","766,061,000","1,415,142,000","1,038,141,000","1,218,499,000","870,919,000","1,219,308,000","1,547,906,000","2,530,158,000","2,312,719,000","1,866,166,000","1,216,323,000","625,316,000","389,105,000","392,427,000","427,094,000","527,159,000","403,194,000","283,000,000","331,700,000","326,100,000","182,800,000","88,000,000","108,800,000","66,300,000","35,800,000","46,000,000","24,100,000","21,900,000","6,700,000","3,400,000","5,100,000","16,700,000"
OperatingExpense,,"135,605,000","168,792,000","73,216,000","71,634,000","69,258,000","76,843,000","106,771,000","117,997,000","99,990,000","728,815,000","631,826,000","519,414,000","404,316,000","375,304,000","288,893,000","252,271,000","201,933,000","171,289,000","152,093,000","142,872,000","134,570,000","124,800,000","102,000,000","142,700,000","106,700,000","76,600,000","90,800,000","42,900,000","40,300,000","50,100,000","31,500,000","32,400,000","19,600,000","19,000,000","34,200,000","43,300,000"
	SellingGeneralAndAdministration,,"121,196,000","168,792,000","73,216,000","71,634,000","69,258,000","76,843,000","106,771,000","117,997,000","99,990,000","91,377,000","91,997,000","80,262,000","74,143,000","85,831,000","46,272,000","40,278,000","33,714,000","26,634,000","26,939,000","24,297,000","23,783,000","35,800,000","30,300,000","64,800,000","54,500,000","40,100,000","51,300,000","22,400,000","22,600,000","30,200,000","17,100,000","18,200,000","7,500,000","4,500,000","6,200,000","8,600,000"
		GeneralAndAdministrativeExpense,,"121,196,000","168,792,000","73,216,000","71,634,000","69,258,000","76,843,000","106,771,000","117,997,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,"121,196,000","168,792,000","73,216,000","71,634,000","69,258,000","76,843,000","106,771,000","117,997,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,"658,640,000","539,829,000","408,313,000","356,658,000","292,987,000","253,325,000","241,752,000","168,219,000","148,127,000","125,154,000","118,575,000","110,787,000","89,000,000","71,700,000","77,900,000","52,200,000","36,500,000","39,500,000","20,500,000","17,700,000","19,900,000","14,400,000","14,200,000","12,100,000","14,500,000","28,000,000","34,700,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,"658,640,000","539,829,000","408,313,000","356,658,000","292,987,000","253,325,000","241,752,000","168,219,000","148,127,000","125,154,000","118,575,000","110,787,000","89,000,000","71,700,000","77,900,000","52,200,000","36,500,000","39,500,000","20,500,000","17,700,000","19,900,000","14,400,000","14,200,000","12,100,000","14,500,000","28,000,000","34,700,000"
	OtherOperatingExpenses,,"14,409,000",,,,,,,"17,702,000",,"-21,202,000",,"30,839,000","-26,485,000","-3,514,000","-10,704,000","-29,759,000",,"-3,472,000",,,,,,,,,,,,,,,,,,
OperatingIncome,,"-161,137,000","-50,979,000","-143,941,000","-41,633,000","696,803,000","1,338,299,000","931,370,000","1,100,502,000","770,929,000","490,493,000","916,080,000","2,010,744,000","1,908,403,000","1,490,862,000","927,430,000","373,045,000","187,172,000","221,138,000","275,001,000","384,287,000","268,624,000","158,200,000","229,700,000","183,400,000","76,100,000","11,400,000","18,000,000","23,400,000","-4,500,000","-4,100,000","-7,400,000","-10,500,000","-12,900,000","-15,600,000","-29,100,000","-26,600,000"
NetNonOperatingInterestIncomeExpense,,"-155,641,000","-273,428,000","-289,309,000","-286,540,000","-222,897,000","-177,568,000","-156,477,000","-103,546,000","-80,575,000","-54,243,000","429,000","5,158,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,"9,012,000","6,007,000","8,302,000","5,449,000","18,000","36,286,000","-1,298,000","2,754,000","5,188,000","1,484,000","9,886,000","6,843,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,"164,653,000","279,435,000","297,611,000","291,989,000","222,915,000","213,854,000","156,477,000","106,300,000","85,763,000","55,727,000","9,457,000","1,685,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,"-3,922,084,000","-584,678,000","-803,926,000","-121,639,000","-1,440,935,000","-418,298,000","-745,428,000","21,056,000","12,871,000",,,,"26,485,000","14,665,000","20,728,000","40,592,000","9,034,000","9,609,000","10,946,000","13,457,000","12,261,000","-10,700,000","6,300,000","208,800,000","44,300,000","5,600,000","21,400,000","3,400,000","6,500,000","6,500,000","2,400,000","3,400,000","200,000","-800,000","-50,000,000","500,000"
	GainOnSaleOfSecurity,,,,,,,,,"46,800,000","33,255,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,"-3,922,084,000","-584,678,000","-803,926,000","-121,639,000","-1,440,935,000","-418,298,000","-745,428,000","-25,744,000","-20,384,000",,"0",,"26,485,000","14,665,000","20,728,000","40,592,000","9,034,000","9,609,000","10,946,000","13,457,000","12,261,000","-10,700,000","6,300,000","208,800,000","44,300,000","5,600,000","21,400,000","3,400,000","6,500,000","6,500,000","2,400,000","3,400,000","200,000","-800,000","-50,000,000","500,000"
		RestructuringAndMergernAcquisition,,"23,930,000",,,,,,,"17,702,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,"3,915,408,000","615,294,000","802,133,000","121,639,000","1,458,749,000","418,298,000","745,428,000","43,688,000","20,384,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,"615,294,000","802,133,000","121,639,000","1,458,749,000","418,298,000","745,428,000","43,688,000","20,384,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"-17,254,000","-30,616,000","1,793,000",,"-17,814,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,"0","35,646,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,,"-4,238,862,000","-909,085,000","-1,237,176,000","-449,812,000","-967,029,000","742,433,000","29,465,000","1,018,012,000","703,225,000","436,250,000","916,509,000","2,015,902,000","1,912,458,000","1,488,902,000","921,287,000","364,092,000","161,817,000","186,984,000","243,325,000","349,992,000","226,307,000","125,500,000","230,900,000","379,600,000","102,000,000","4,900,000","27,200,000","21,600,000","-5,900,000","-11,300,000","-7,400,000","-9,700,000","-13,300,000","-16,800,000","-82,100,000","-31,000,000"
TaxProvision,,"-260,403,000","-38,540,000","-106,641,000","42,629,000","-109,156,000","159,232,000","106,651,000","167,606,000","147,088,000","72,625,000","143,077,000","337,260,000","351,463,000","282,891,000","189,421,000","67,396,000","15,731,000","20,568,000","33,822,000","86,082,000","60,753,000","30,200,000","68,900,000","115,700,000","22,700,000","3,300,000","5,700,000","2,500,000","2,200,000","2,100,000","1,400,000","800,000","-4,900,000","-6,700,000","-38,100,000","-14,500,000"
