name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"95,572,000","126,862,000","760,848,000","225,747,000","212,846,000","772,265,000","875,561,000","732,060,000","471,472,000","485,348,000","278,403,000","111,493,000","912,750",
	OperatingRevenue,"85,419,000","112,013,000","738,600,000","204,785,000","192,008,000","734,218,000","875,561,000","732,060,000","471,472,000","485,348,000","278,403,000","111,493,000","912,750",
CostOfRevenue,"191,211,000","218,300,000","230,713,000","241,488,000","235,593,000","486,969,000","421,505,000","335,915,000","230,089,000","284,400,000","176,387,000","66,228,000",,
GrossProfit,"-95,639,000","-91,438,000","530,135,000","-15,741,000","-22,747,000","285,296,000","454,056,000","396,145,000","241,383,000","200,948,000","102,016,000","45,265,000",,
OperatingExpense,"19,347,000","21,022,000","128,548,000","29,544,000","41,648,000","25,322,000","160,716,000","139,221,000","94,749,000","90,794,000","55,103,000","26,908,000","53,086,023","946,989"
	SellingGeneralAndAdministration,"19,347,000","21,022,000","128,548,000","29,544,000","41,648,000","25,322,000","34,106,000","32,612,000","26,002,000","26,317,000","21,719,000","15,690,000","14,698,594","946,989"
		GeneralAndAdministrativeExpense,"19,347,000","21,022,000","128,548,000","29,544,000","41,648,000","25,322,000",,"32,612,000",,,,,,
			OtherGandA,"19,347,000","21,022,000","128,548,000","29,544,000","41,648,000","25,322,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,"126,610,000","106,609,000","68,747,000","64,477,000","33,384,000","11,218,000","101,263",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,"126,610,000","106,609,000","68,747,000","64,477,000","33,384,000","11,218,000","101,263",
			DepreciationIncomeStatement,,,,,,,"126,610,000","106,609,000","68,747,000","64,477,000","33,384,000","11,218,000",,
	OtherOperatingExpenses,,,,,,,,,,,,,"38,286,166",
OperatingIncome,"-114,986,000","-112,460,000","401,587,000","-45,285,000","-64,395,000","259,974,000","293,340,000","256,924,000","146,634,000","110,154,000","46,913,000","18,357,000","-52,173,273","-946,989"
NetNonOperatingInterestIncomeExpense,"-33,861,000","-33,170,000","69,793,000","-76,881,000","-75,633,000","-173,550,000","-213,879,000","-213,928,000","-149,028,000","-154,801,000","-49,265,000","-8,155,000",,
	InterestIncomeNonOperating,"270,000","871,000","116,368,000","1,898,000","808,000","84,000","45,000","221,000","90,000","96,000","562,000","23,000",,
