name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"7,613,000,000","7,453,000,000","7,158,000,000","10,403,000,000","9,819,000,000","9,716,000,000","9,679,000,000","9,741,000,000","9,463,000,000","9,023,000,000","9,416,000,000","9,352,000,000","9,573,000,000","10,459,000,000","9,520,000,000","9,167,000,000","8,343,000,000","7,041,000,000","5,509,000,000","3,605,000,000"
	CurrentAssets,"5,760,000,000","5,524,000,000","5,415,000,000","2,964,000,000","1,812,000,000","1,869,000,000","1,867,000,000","1,940,000,000","1,866,000,000","1,730,000,000","1,752,000,000","1,740,000,000","1,914,000,000","2,056,000,000","2,052,000,000","2,568,000,000",,,,
		CashCashEquivalentsAndShortTermInvestments,"1,231,000,000","400,000,000","243,000,000","116,000,000","199,000,000","171,000,000","183,000,000","194,000,000","195,000,000","142,000,000","156,000,000","155,000,000","136,000,000","210,000,000","269,000,000","99,000,000",,,,
			CashAndCashEquivalents,"1,196,000,000","355,000,000","218,000,000","100,000,000","185,000,000","171,000,000","183,000,000","194,000,000","195,000,000","142,000,000","156,000,000","155,000,000","136,000,000","210,000,000","269,000,000","99,000,000",,,,
			OtherShortTermInvestments,"35,000,000","45,000,000","25,000,000","16,000,000","14,000,000",,,,,,,,,,,,,,,
		Receivables,"2,694,000,000","3,380,000,000","3,227,000,000","711,000,000","924,000,000","901,000,000","897,000,000","933,000,000","823,000,000","706,000,000","720,000,000","693,000,000","754,000,000","842,000,000","751,000,000","1,735,000,000",,,,
			AccountsReceivable,"115,000,000","144,000,000","121,000,000","385,000,000","610,000,000","586,000,000","516,000,000","505,000,000","442,000,000","409,000,000","425,000,000","404,000,000","460,000,000","749,000,000","686,000,000","1,735,000,000",,,,
				GrossAccountsReceivable,"336,000,000",,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-221,000,000",,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"20,000,000","34,000,000","6,000,000","27,000,000","12,000,000","11,000,000","38,000,000",,,,,,,,,,,,,
			OtherReceivables,"2,559,000,000","3,202,000,000","3,100,000,000","299,000,000","302,000,000","304,000,000","343,000,000","428,000,000","381,000,000","297,000,000","295,000,000","289,000,000","294,000,000","93,000,000","65,000,000","0",,,,
			ReceivablesAdjustmentsAllowances,,"-747,000,000","-734,000,000","-63,000,000","-57,000,000","-57,000,000","-59,000,000","-57,000,000","-52,000,000",,,,,,,,,,,
