Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,27307687.0,1464882.0,2568699.0,58446662.0,9989384.0,14608.0,10525110.0,8979899.0,"YEW
BIO-PHARM GROUP, INC.",1548240,45482568,0.04,CA,0.0250635699263715,0.032207548175380074,0.17870620224641742,0.09406505208588337,0.05364357662368109,0.9491001994278444,0.9477122804417246,0.1974360594590877
1,2019,1/1/19,31/12/19,27883649.0,985506.0,1011519.0,54206717.0,11671361.0,2637389.0,10481308.0,8541517.0,"Yew Bio-Pharm Group, Inc.",1548240,41393695,0.02,CA,0.018180514418535992,0.02380811860356994,0.17575355098520354,0.036276421353604045,0.03534350902207957,1.1135405046774696,0.8619126544129797,0.20634826149248092
2,2018,1/1/18,31/12/18,37596942.0,-1322441.0,718597.0,49692066.0,12389136.0,6204954.0,7061992.0,5758517.0,"Yew Bio-Pharm Group, Inc.",1548240,41087039,-0.03,CA,-0.02661271922161578,-0.03218633009791725,0.08927131345273509,0.01911317681102894,-0.035174163898755384,1.754340135191317,0.8756993777393121,0.14015410066420217
3,2017,1/1/17,31/12/17,40539690.0,3213034.0,3324654.0,52930095.0,35433952.0,2579190.0,7398588.0,6099876.0,"Yew Bio-Pharm Group, Inc.",1548240,45171861,0.06,CA,0.06070334844477419,0.07112910402340962,0.1759473509352288,0.08200985256670686,0.07925650146806747,4.789285739387029,4.440680032460248,0.1350370754040884
4,2016,1/1/16,31/12/16,51348082.0,2006891.0,2121358.0,46195261.0,33793298.0,10296792.0,7498185.0,1723865.0,"Yew Bio-Pharm Group, Inc.",1548240,38576103,0.04,CA,0.043443655400063654,0.05202420265209267,0.08076057844981112,0.041313286054189914,0.03908404991641168,4.506863727688767,3.1336258041112615,0.044687380682284054
5,2015,1/1/15,31/12/15,29573808.0,5284588.0,5139938.0,43811337.0,16867933.0,4665549.0,4641201.0,3081332.0,"Yew Bio-Pharm Group, Inc.",1548240,39170136,0.1,CA,0.12062147293062524,0.13491370058046262,0.19095331420723363,0.17380034387184767,0.17869149620502034,3.6343896762928387,2.6291436203689518,0.07866533830773526
6,2014,1/1/14,31/12/14,7726576.0,4284177.0,4285950.0,35041908.0,3216292.0,1443078.0,140309.0,0.0,"Yew Bio-Pharm Group, Inc.",1548240,34901599,0.08,CA,0.1222586681067709,0.12275016396813224,0.1222586681067709,0.5547023675169959,0.5544728997682803,22.922920126292684,12.63792058955591,0.0
7,2013,1/1/13,31/12/13,7439648.0,3899730.0,3897737.0,35313908.0,3082122.0,1089087.0,4997582.0,0.0,"Yew Bio-Pharm Group, Inc.",1548240,30316326,0.08,CA,0.11043042871380873,0.12863465051800801,0.11043042871380873,0.5239141690574608,0.5241820580758659,0.6167226470721241,0.3987998596121084,0.0
8,2012,1/1/12,31/12/12,6727524.0,2206267.0,2204502.0,28042485.0,2446034.0,991234.0,253686.0,0.0,"Yew Bio-Pharm Group, Inc.",1548240,27788799,0.05,CA,0.07867587341136137,0.07939411127483414,0.07867587341136137,0.327684003802885,0.3279463588684336,9.641974724659619,5.7346483448042065,0.0
9,2011,1/1/11,31/12/11,5961039.0,4040311.0,4046666.0,24902097.0,1443648.0,710844.0,2697500.0,0.0,"Yew Bio-Pharm Group, Inc.",1548240,22204597,0.1,CA,0.16224782194045748,0.1819583125061896,0.16224782194045748,0.6788524617939926,0.6777863724763418,0.5351799814643188,0.2716604263206673,0.0
10,2010,1/1/10,31/12/10,,2585960.0,2580693.0,20672129.0,2881917.0,972048.0,3286235.0,,"Yew Bio-Pharm Group, Inc.",1548240,17385894,0.06,CA,0.12509403361405108,0.14873897195047894,,,,0.876966193835803,0.5811723750736024,
11,2009,1/1/09,31/12/09,,,,,,,,,"Yew Bio-Pharm Group, Inc.",1548240,14286108,,CA,,,,,,,,
