,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location
0,2020,1/1/20,31/12/20,27307687,1464882,2568699,58446662,9989384,14608,10525110,8979899,"YEW
BIO-PHARM GROUP, INC.",1548240,45482568,0.04,CA
1,2019,1/1/19,31/12/19,27883649,985506,1011519,54206717,11671361,2637389,10481308,8541517,"Yew Bio-Pharm Group, Inc.",1548240,41393695,0.02,CA
2,2018,1/1/18,31/12/18,37596942,-1322441,718597,49692066,12389136,6204954,7061992,5758517,"Yew Bio-Pharm Group, Inc.",1548240,41087039,-0.03,CA
3,2017,1/1/17,31/12/17,40539690,3213034,3324654,52930095,35433952,2579190,7398588,6099876,"Yew Bio-Pharm Group, Inc.",1548240,45171861,0.06,CA
4,2016,1/1/16,31/12/16,51348082,2006891,2121358,46195261,33793298,10296792,7498185,1723865,"Yew Bio-Pharm Group, Inc.",1548240,38576103,0.04,CA
5,2015,1/1/15,31/12/15,29573808,5284588,5139938,43811337,16867933,4665549,4641201,3081332,"Yew Bio-Pharm Group, Inc.",1548240,39170136,0.1,CA
6,2014,1/1/14,31/12/14,7726576,4284177,4285950,35041908,3216292,1443078,140309,0,"Yew Bio-Pharm Group, Inc.",1548240,34901599,0.08,CA
7,2013,1/1/13,31/12/13,7439648,3899730,3897737,35313908,3082122,1089087,4997582,0,"Yew Bio-Pharm Group, Inc.",1548240,30316326,0.08,CA
8,2012,1/1/12,31/12/12,6727524,2206267,2204502,28042485,2446034,991234,253686,0,"Yew Bio-Pharm Group, Inc.",1548240,27788799,0.05,CA
9,2011,1/1/11,31/12/11,5961039,4040311,4046666,24902097,1443648,710844,2697500,0,"Yew Bio-Pharm Group, Inc.",1548240,22204597,0.1,CA
10,2010,1/1/10,31/12/10,,2585960,2580693,20672129,2881917,972048,3286235,,"Yew Bio-Pharm Group, Inc.",1548240,17385894,0.06,CA
11,2009,1/1/09,31/12/09,,,,,,,,,"Yew Bio-Pharm Group, Inc.",1548240,14286108,,CA
