,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location
0,2019,1/1/19,31/12/19,40089457,-6635296,-1185778,24069329,22835356,31506,14253879,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,9685288,-0.29,CA
1,2018,1/1/18,31/12/18,30650402,343821,2589346,32511042,31690093,1643033,19784528,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,12726514,0.02,CA
2,2017,1/1/17,31/12/17,17270069,5309036,1796131,20004586,19073381,2745991,8873669,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,10670835,0.51,CA
3,2016,1/1/16,31/12/16,9620929,891030,872726,6084990,4472718,0,10329042,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-4244052,0.17,CA
4,2015,1/1/15,31/12/15,,-677358,-243341,63154,50981,0,11163608,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-11100454,-0.34,CA
5,2014,1/1/14,31/12/14,,-707556,-527558,24615,17243,0,10000640,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-11847161,-0.35,CA
6,2013,1/1/13,31/12/13,,3713866,-556852,28485,16530,0,8436384,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-11256864,0.01,CA
7,2012,1/1/12,31/12/12,,-1342432,-595559,42046,26081,0,12002449,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-13806281,-0.003,CA
8,2011,1/1/11,31/12/11,,-1691319,-1422789,62999,42677,0,10593526,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-12345438,-0.005,CA
9,2010,1/1/10,31/12/10,88056,-2275783,-2037783,131944,106022,0,8768262,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-10372770,-0.006,CA
10,2009,1/1/09,31/12/09,38292,-3780621,-2073310,425465,169982,0,6553102,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-7932417,-0.01,CA
11,2008,1/1/08,31/12/08,226869,-3683821,-1839450,5323694,3910254,351786,7910310,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-4394029,0.037,CA
12,2007,1/1/07,31/12/07,,,,3675180,1487532,818329,2854458,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-2084771,-0.038,CA
