name,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalAssets,"1,027,178","121","146","644,660","644,672","707,328","829","644"
	CurrentAssets,"154,383","121","146","1,143","1,155","13,811","829","644"
		CashCashEquivalentsAndShortTermInvestments,"68,644","121","146","1,143","1,155","10,726","829","644"
			CashAndCashEquivalents,"68,644","121","146","1,143","1,155","10,726","829","644"
				CashFinancial,"68,644","121",,,,,,
		Receivables,"70,857",,,,,,,
			AccountsReceivable,"45,807",,,,,,,
			NotesReceivable,"25,050",,,,,,,
			OtherReceivables,"0",,,,,,,
		Inventory,"7,823",,,,,,,
		PrepaidAssets,,,,,,"3,085",,
		OtherCurrentAssets,"7,059",,,,,,,
	TotalNonCurrentAssets,"872,795","0","0","643,517","643,517","693,517","0","0"
		NetPPE,"624,171","0",,"643,517","643,517","693,517",,
			GrossPPE,"625,918",,,"643,517","643,517","693,517",,
				Properties,"601,566",,,,,,,
				MachineryFurnitureEquipment,"24,352",,,,,,,
				OtherProperties,"0",,,,,,,
			AccumulatedDepreciation,"-1,747",,,,,,,
		OtherNonCurrentAssets,"248,624",,,"0","0","0",,
TotalLiabilitiesNetMinorityInterest,"484,707","633,300","586,026","512,368","307,278","68,502","6,471","5,024"
	CurrentLiabilities,"484,707","633,300","586,026","391,887","242,064","10,168","6,471","5,023"
		PayablesAndAccruedExpenses,"168,210","147,410","513,292","391,887","242,064","10,168","6,149","4,773"
			Payables,,,"513,292","391,887","242,064","10,168","6,149","4,773"
				AccountsPayable,,,"513,292","391,887","242,064","10,168","6,149","4,773"
				OtherPayable,,,"0","0","0","0","0","0"
		CurrentDebtAndCapitalLeaseObligation,"239,951","445,864","72,734",,,,"322","250"
			CurrentDebt,"239,951","445,864","72,734",,,,,
				CurrentNotesPayable,"239,951","445,864","70,444",,,,,
				OtherCurrentBorrowings,"0","0","2,290",,,,,
			CurrentCapitalLeaseObligation,,,,,,,"322","250"
		OtherCurrentLiabilities,"76,546","40,026","0","0","0","0","0","0"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"0","0",,"120,481","65,214","58,334",,"1"
		LongTermDebtAndCapitalLeaseObligation,,,,"120,481","65,214","58,334",,
			LongTermDebt,,,,"120,481","65,214","58,334",,
		OtherNonCurrentLiabilities,,,,"0","0","0",,
TotalEquityGrossMinorityInterest,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
	StockholdersEquity,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
		CapitalStock,"53,288","188","188","35,367","35,367","35,367","10,200","7,918"
			PreferredStock,"0","0",,,,,,
			CommonStock,"53,288","188","188","35,367","35,367","35,367","10,200","7,918"
			OtherCapitalStock,"0","0","0","0","0","0","0","0"
		AdditionalPaidInCapital,"2,981,174","1,194,211","1,194,211","950,032","950,032","950,032","22,900","17,777"
		RetainedEarnings,"-2,477,707","-1,812,065","-1,793,828","-829,386","-657,753","-353,319","-38,841","-30,152"
		GainsLossesNotAffectingRetainedEarnings,"-14,284","-15,513","13,549","-23,721","9,748","6,746","99","77"
			ForeignCurrencyTranslationAdjustments,,,,,,,"99","77"
			OtherEquityAdjustments,,,,,,,"0","0"
TotalCapitalization,"542,471","-633,179","-585,880","252,773","402,608","697,160","-5,642","-4,380"
CommonStockEquity,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
CapitalLeaseObligations,,,,,,,"322","250"
NetTangibleAssets,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
WorkingCapital,"-330,324","-633,179","-585,880","-390,744","-240,909","3,643","-5,642","-4,379"
InvestedCapital,"782,422","-187,315","-513,146","252,773","402,608","697,160","-5,642","-4,380"
TangibleBookValue,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
TotalDebt,"239,951","445,864","72,734","120,481","65,214","58,334","322","250"
NetDebt,"171,307","445,743","72,588","119,338","64,059","47,608",,
ShareIssued,"5,328,782","18,805","18,805","18,805","18,805","18,805","18,805","18,805"
OrdinarySharesNumber,"5,328,782","18,805","18,805","18,805","18,805","18,805","18,805","18,805"
