name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"3,299,069,000","4,439,615,000","5,469,866,000","5,758,856,000","3,804,606,000","4,533,317,000","5,394,011,000","4,687,127,000","4,556,911,000","4,221,901,000","3,423,031,000","2,662,152,000","2,712,817,000","2,465,199,000","2,192,503,000","1,795,781,000","1,322,911,000","1,075,830,000","942,509,000","869,642,000","410,586,000","236,300,000","236,600,000","203,200,000","87,900,000","43,800,000","31,700,000","18,400,000","13,600,000"
	CurrentAssets,"477,956,000","631,815,000","950,197,000","746,855,000","283,321,000","486,536,000","909,092,000","808,650,000","699,991,000","764,950,000","557,410,000","457,268,000","641,374,000","522,785,000","652,670,000","637,857,000","387,033,000","308,060,000","243,015,000","199,458,000","167,763,000","58,700,000","53,500,000","77,000,000","35,500,000","16,800,000","16,400,000","10,600,000","7,200,000"
		CashCashEquivalentsAndShortTermInvestments,"224,915,000","174,185,000","245,029,000","42,828,000","35,152,000","113,346,000","43,012,000","249,509,000","110,723,000","23,946,000","27,612,000","49,877,000","81,223,000","17,434,000","13,385,000","136,398,000","112,371,000","100,483,000","82,154,000","33,584,000","59,355,000","8,800,000","9,000,000","23,300,000","3,500,000","2,500,000","3,400,000","4,000,000","2,100,000"
			CashAndCashEquivalents,"224,915,000","174,185,000","245,029,000","42,828,000","35,152,000","113,346,000","43,012,000","249,509,000","110,723,000","23,946,000","27,612,000","49,877,000","81,223,000","17,434,000","13,385,000","136,398,000","112,371,000","100,483,000","82,154,000","33,584,000","59,355,000","8,800,000","9,000,000","23,300,000","3,500,000","2,500,000","3,400,000","4,000,000","2,100,000"
		Receivables,"164,642,000","346,096,000","562,927,000","581,506,000","150,217,000","253,126,000","745,130,000","451,517,000","465,517,000","518,109,000","412,229,000","283,367,000","424,706,000","373,279,000","489,554,000","422,002,000","214,097,000","169,012,000","123,733,000","135,510,000","82,066,000","42,500,000","29,100,000","45,500,000","24,700,000","11,000,000","10,400,000","6,300,000","4,500,000"
			AccountsReceivable,"160,214,000","339,699,000","558,817,000","580,354,000","148,091,000","219,672,000","663,404,000","451,517,000","465,517,000","518,109,000","337,167,000","164,498,000","414,531,000","373,279,000","484,106,000","422,002,000","214,097,000","156,345,000","99,014,000","133,837,000",,,,,,,,,
				GrossAccountsReceivable,"171,056,000","346,215,000","561,129,000","582,677,000","151,282,000","223,217,000","666,950,000","455,191,000","469,030,000","522,996,000",,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-10,842,000","-6,516,000","-2,312,000","-2,323,000","-3,191,000","-3,545,000","-3,546,000","-3,674,000","-3,513,000","-4,887,000",,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"4,428,000","6,397,000","4,110,000","1,152,000","2,126,000","33,454,000","81,726,000",,,"0","75,062,000","118,869,000","10,175,000",,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,"5,448,000",,,"12,667,000","24,719,000","1,673,000",,,,,,,,,
