name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,
"		MinorityInterests","17,581,000","3,533,000","-873,000","30,587,000","11,255,000","4,006,000","613,000","-1,818,000","1,351,000","-10,298,000","-17,298,000","-18,892,000","-1,724,000","-13,584,000","137,249.50",,,"-2,575,000","225,000",
"	OtherunderPreferredStockDividend",,"130,000",,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-85,261,000","-62,250,000","-153,663,000","-75,674,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.48","-4,428.81","26,561,000","8,115,000",
BasicEPS,-16.95,-14.87,-50.18,-32.4,-28.7,-6.1,-4.2,3.2,-0.6,-10,21.2,-17.7,-18.8,-70.1,15.206,-14.073,0,26.561,8.115,
DilutedEPS,-16.95,-14.87,-50.18,-32.4,-28.7,-6.1,-4.2,3.2,-0.6,-10,21,-17.7,-18.8,-70.1,14.606,-14.073,0,26.561,8.115,
BasicAverageShares,"5,029,017","4,184,032","3,061,979","2,334,312","2,285,854","2,279,479","2,274,385","2,325,912","2,338,281","2,307,289","2,318,946","2,301,369","2,298,727","2,326,806","1,078,671","403,900","87,500","1,000,000","1,000,000",
DilutedAverageShares,"5,029,017","4,185,840","3,061,979","2,334,312","2,285,854","2,279,479","2,274,385","2,327,844","2,338,281","2,307,289","2,333,726","2,301,369","2,298,727","2,326,806","1,122,015","403,900","87,500","1,000,000","1,000,000",
TotalOperatingIncomeAsReported,"-91,583,000","-56,336,000","-35,519,000","-68,560,000","-61,308,000","1,340,000","-24,479,000","18,163,000","-3,471,000","12,613,000","61,982,000","45,696,000","-42,376,000","-152,154,000","17,454,907","-6,905,483.72","-4,428.81","31,217,000","4,576,000",
TotalExpenses,"116,005,000","148,776,000","48,446,000","68,560,000","396,559,000","374,910,000","439,370,000","463,531,000","555,582,000","554,821,000","522,878,000","546,796,000","555,866,000","641,533,000","189,929,087.50","6,905,483.72","4,428.81","67,500,000","70,480,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"-85,261,000","-62,120,000","-153,663,000","-75,674,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.48","-4,428.81","26,561,000","8,115,000",
NormalizedIncome,"-51,176,000","-59,022,500","-59,173,000","-45,552,000","-65,578,000","-13,808,000","-6,436,250","7,494,000","-1,434,000","-12,892,500","38,785,123.56","-6,459,500","-62,314,000.83","-177,108,444.91","14,020,854.28","-5,527,312.48","-4,428.81","26,561,000","3,444,278.91",
InterestIncome,,"3,000","6,000","1,427,000","162,000","775,000","596,000","1,776,000","2,547,000","1,771,000","1,634,000","2,036,000","5,199,000","10,942,000","888,085","1,378,171.25",,"440,000","134,000",
InterestExpense,"5,796,000","4,680,000","22,787,000","9,006,000","14,251,000","18,634,000","19,743,000","11,326,000","4,029,000","1,469,000","8,539,000","16,784,000","36,939,000","21,697,000","1,832,684.50",,,"417,000","172,000",
NetInterestIncome,"-5,796,000","-4,677,000","-22,781,000","-7,579,000","-14,089,000","-17,859,000","-19,147,000","-9,550,000","-1,482,000","302,000","-6,905,000","-14,748,000","-31,740,000","-10,755,000","-944,599.50","1,378,171.25",,"23,000","-38,000",
EBIT,"-96,621,000","-60,463,000","-130,003,000","-67,133,000","-61,146,000","2,115,000","-28,780,000","25,100,000","3,106,000","2,418,000","84,209,000","6,591,000","-8,618,000","-127,968,000","17,454,907","-6,905,483.72","-4,428.81","31,051,000","4,576,000",
EBITDA,,,,,,,,,,,,,,,,,,,,
ReconciledCostOfRevenue,"49,000,000","105,270,000","7,047,000",0,"259,253,000","264,039,000","301,148,000","315,082,000","387,783,000","371,591,000","353,587,000","392,842,000","404,795,000","462,852,000","129,216,367.50",,,"46,006,000","50,341,000",
ReconciledDepreciation,"10,612,000","13,796,000","16,452,000","27,687,000","31,222,000","30,547,000","28,524,000","28,164,000","19,541,000","23,307,000","21,712,000","21,266,000","22,298,000","22,032,000","6,757,519.50",,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-85,261,000","-62,120,000","-153,663,000","-45,552,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.48","-4,428.81","26,561,000","8,115,000",
TotalUnusualItemsExcludingGoodwill,"-34,085,000","-4,130,000","-94,490,000","5,028,000",0,0,"-4,121,000",0,0,"-13,582,000","11,710,000","-45,810,000","20,857,000","13,913,000","2,607,740.50",,,,"6,584,000",
TotalUnusualItems,"-34,085,000","-4,130,000","-94,490,000","5,028,000",0,0,"-4,121,000",0,0,"-13,582,000","11,710,000","-45,810,000","20,857,000","13,913,000","2,607,740.50",,,,"6,584,000",
NormalizedEBITDA,"-51,924,000","-42,537,000","-19,061,000","-39,446,000","-29,924,000","32,662,000","3,865,000","53,264,000","22,647,000","39,307,000","94,211,000","73,667,000","-7,177,000","-119,849,000","21,604,686","-6,905,483.72","-4,428.81","31,051,000","-2,008,000",
TaxRateForCalcs,0,0.25,0,0,0.25,0.25,0.25,0.324,0.25,0.25,0.123,0.25,0.088,0,0.079,0.4,0.4,0.049,0.291,
TaxEffectOfUnusualItems,0,"-1,032,500",0,0,0,0,"-1,030,250",0,0,"-3,395,500","1,442,123.56","-11,452,500","1,828,999.17","4,555.09","207,095.78",0,0,0,"1,913,278.91",
ROA,-0.334510344,-0.237905573,-0.357271897,-0.23346085,-0.074467481,-0.014006486,-0.008946632,0.0064711,-0.00147011,-0.028200767,0.052462484,-0.049502513,-0.048402319,-0.146896937,0.016700786,-0.006916722,-2.56E-05,37.75317848,0.031528276,
,,,,,,,,,,,,,,,,,,,,
TotalAssets,"254,883,000","261,112,000","430,101,000","324,140,000","880,626,000","985,829,000","1,064,870,000","1,158,072,000","975,437,000","818,382,000","935,011,000","824,544,000","894,296,000","1,110,983,000","983,277,028.40","799,123,103.50","172,881,637.91","703,543.41","257,388,000","97,434,000"
"	CurrentAssets","64,398,000","69,222,000","214,878,000","89,059,000","478,103,000","543,759,000","624,951,000","684,542,000","559,042,000","510,818,000","664,261,000","513,289,000","565,542,000","794,323,000","717,825,083.50","649,505,001.50","172,881,637.91","496,589.66",,
"		CashCashEquivalentsAndShortTermInvestments","22,482,000","3,198,000","1,990,000","3,245,000","54,509,000","66,025,000","46,268,000","131,978,000","152,789,000","129,942,000","299,672,000","121,755,000","102,263,000","296,282,000","287,524,898.40","237,934,118.50","821,449.10","496,589.66","78,698,000","37,308,000"
"			CashAndCashEquivalents","22,482,000","3,198,000","1,990,000","3,245,000","54,509,000","66,025,000","46,268,000","131,978,000","152,789,000","129,942,000","299,672,000","121,755,000","102,263,000","162,314,000","140,832,550.90","237,934,118.50","821,449.10","496,589.66","78,698,000","37,308,000"
"				CashEquivalents",,,,,,,,"132,457,000",,,"299,672,000","121,755,000",,,,,,,,
"			OtherShortTermInvestments",,,,,,,,,,,,,0,"133,968,000","146,692,347.50",,,,,
"		Receivables","25,416,000","35,371,000","129,506,000","55,940,000","539,000","2,099,000","3,767,000","6,512,000","11,306,000","13,954,000","17,900,000","14,421,000","14,841,000","11,894,000","21,504,347.90",,,,,
"			AccountsReceivable","3,111,000","1,481,000",0,,"491,000","2,051,000","1,021,000","1,949,000","7,065,000","6,616,000","10,048,000","5,692,000","4,686,000","2,750,000","12,454,042.10",,,,,
"				GrossAccountsReceivable",,,,,"5,578,000","6,896,000","6,902,000","14,059,000","13,817,000","9,330,000","10,890,000",,,,,,,,,
"				AllowanceForDoubtfulAccountsReceivable",,,,,"-5,087,000","-4,845,000","-5,881,000","-12,110,000","-6,752,000","-2,714,000","-842,000",,,,,,,,,
"			TaxesReceivable",,,,,"48,000","48,000","48,000","1,163,000","2,159,000","2,155,000","2,745,000","1,725,000","1,697,000","1,760,000",,,,,,
"			DuefromRelatedPartiesCurrent","22,305,000","33,890,000","129,506,000","55,940,000",,0,"2,698,000","3,400,000","2,082,000","5,183,000","5,107,000",,,"7,384,000",,,,,,
"			OtherReceivables",,,,0,0,0,,0,"6,752,000",0,"5,107,000","7,004,000","8,458,000",0,"9,050,305.80",,,,,
"			ReceivablesAdjustmentsAllowances",,,,,,,,,"-6,752,000",,,,,,,,,,,
"		Inventory","13,568,000","28,527,000","81,947,000","1,223,000","368,086,000","439,562,000","516,368,000","470,811,000","282,544,000","210,826,000","283,174,000","341,770,000","387,734,000","449,207,000","343,279,836.40","355,855,659.50",,,,
"			RawMaterials",,0,"2,144,000","1,223,000",,,,,,,,,,,,,,,,
"			WorkInProcess","13,568,000","28,527,000","85,035,000",,"385,790,000","420,655,000","498,384,000","436,251,000","266,632,000","111,945,000","172,389,000","203,833,000","168,964,000",,"113,444,714.50","199,819,125",,,,
"			FinishedGoods",,,,,"39,426,000","65,080,000","71,571,000","86,861,000","43,459,000","120,134,000","110,785,000","137,937,000","218,770,000",,"230,869,668.20","155,988,093.50",,,,
"			OtherInventories",,,,0,0,0,,0,0,0,0,0,0,,"-1,034,546.30","48,441",,,,
"			InventoriesAdjustmentsAllowances",,,"-5,232,000",0,"-57,130,000","-46,173,000","-53,587,000","-52,301,000","-27,547,000","-21,253,000",,,,,,,,,,
"		PrepaidAssets","2,473,000","1,964,000","1,314,000","6,550,000","33,132,000","35,321,000","42,289,000","73,997,000","111,168,000","91,041,000","44,677,000","35,343,000","60,704,000","36,940,000","1,690,022.20","2,890,313","410,033.33",,,
"		RestrictedCash","147,000",,,0,"21,181,000",0,"15,670,000",,,,,,,,,,,,,
"		CurrentDeferredAssets",,,,,,,,,,"3,028,000",,,,,,,,,,
"			CurrentDeferredTaxesAssets",,,,,,,,,,"3,028,000",,,,,,,,,,
"		AssetsHeldForSaleCurrent",,,,"22,027,000",,,,,,,,,,,,,,,,
"		OtherCurrentAssets","312,000","162,000","121,000","74,000","656,000","752,000","589,000","1,244,000","1,235,000","62,027,000","18,838,000",0,0,0,"63,825,978.60","52,824,910.50","171,650,155.48",0,,
"	TotalNonCurrentAssets","190,485,000","191,890,000","215,223,000","235,081,000","402,524,000","442,070,000","439,919,000","473,530,000","416,395,000","307,564,000","270,750,000","311,255,000","328,754,000","316,660,000","265,451,944.90","149,618,102",0,"206,953.75",,
"		NetPPE","117,704,000","149,116,000","172,748,000","144,832,000","313,749,000","324,905,000","338,526,000","354,735,000","317,085,000","190,094,000","161,681,000","152,962,000","146,372,000","143,043,000","125,322,253.70","105,036,235",,,,
"			GrossPPE","205,947,000","256,302,000","284,221,000","194,913,000","452,389,000","442,969,000","436,968,000","437,019,000","383,085,000","251,532,000","217,324,000","200,035,000","188,007,000",,"148,129,656.10","121,142,867.50",,,,
"				Properties",,0,0,0,0,0,0,0,0,"18,338,000","20,082,000","17,379,000","18,033,000",,0,0,,,,
"				LandAndImprovements",,"16,564,000","22,275,000","17,241,000","38,575,000","38,576,000","37,675,000","38,228,000","32,318,000",,,,,,,,,,,
"				BuildingsAndImprovements",,,,"127,608,000","253,739,000","252,664,000",,"252,842,000","155,343,000","140,301,000","133,874,000","125,310,000","119,392,000",,"87,533,673.20","76,633,662",,,,
"				MachineryFurnitureEquipment","203,694,000","256,302,000","280,008,000","193,402,000","446,423,000","438,595,000","433,232,000","421,722,000","95,554,000","64,438,000","53,986,000","47,009,000","43,000,000",,"50,842,817.40","40,641,999",,,,
"				OtherProperties","2,253,000",,,0,"313,749,000","324,905,000","338,526,000","354,735,000","317,085,000",0,0,"1,299,000",0,,"-371,173.10","16,147",,,,
"				ConstructionInProgress",,0,"4,213,000","1,511,000","5,966,000","4,374,000","3,736,000","15,297,000","131,976,000","28,243,000","8,083,000","9,038,000","6,283,000",,"10,124,338.60","3,851,059.50",,,,
"				Leases",,,,,,,,0,"212,000","212,000","1,299,000",,"1,299,000",,,,,,,
"			AccumulatedDepreciation","-88,243,000","-107,186,000","-111,473,000","-50,081,000","-138,640,000","-118,064,000","-98,442,000","-82,284,000","-66,000,000","-61,438,000","-55,643,000","-47,073,000","-41,635,000",,"-22,807,402.40","-16,106,632.50",,,,
"		GoodwillAndOtherIntangibleAssets","14,433,000","18,382,000","24,926,000","29,590,000","67,643,000","75,085,000","78,663,000","68,295,000","69,876,000","74,299,000","72,916,000","73,809,000","70,025,000","81,276,000","57,650,290","21,402,848.50",,,,
"			Goodwill",,,,,"11,973,000","11,973,000","11,973,000","11,973,000","11,973,000","11,973,000","16,665,000","16,665,000","16,665,000","16,665,000","10,890,376.70",,,,,
"			OtherIntangibleAssets","14,433,000","18,382,000","24,926,000","29,590,000","55,670,000","63,112,000","66,690,000","56,322,000","57,903,000","62,326,000","56,251,000","57,144,000","53,360,000","64,611,000","46,759,913.30","21,402,848.50",,,,
"		InvestmentsAndAdvances","10,353,000","16,347,000","16,347,000","18,721,000","18,721,000","18,721,000","18,721,000","24,894,000","22,433,000","20,503,000","22,505,000","65,453,000","65,384,000","58,882,000",,,,,,
"			LongTermEquityInvestment",,,,,,,"18,721,000","24,894,000","22,433,000",,,,,"58,882,000",,,,,,
"		NonCurrentAccountsReceivable","42,246,000",,,,,,,,,,,,,"7,325,000",,,,,,
"		DuefromRelatedPartiesNonCurrent","42,246,000",,,,,,,,,,,,,"7,325,000",,,,,,
"		NonCurrentDeferredAssets",,,,,,,,0,"1,755,000","3,028,000","9,766,000","15,040,000","26,192,000","12,828,000","4,035,520.30","331,013.50",,,,
"			NonCurrentDeferredTaxesAssets",,,,,,,,0,"1,755,000","3,028,000","9,766,000","15,040,000","26,192,000","12,828,000","4,035,520.30","331,013.50",,,,
"		NonCurrentPrepaidAssets",,"2,393,000","1,202,000","1,196,000","2,369,000","3,029,000","3,961,000","11,225,000",,,,,,,,,,,,
"		OtherNonCurrentAssets","5,749,000","5,652,000",,"40,742,000","42,000","20,330,000","48,000","14,381,000","5,246,000","22,668,000","3,882,000","3,991,000","20,781,000","13,306,000","78,443,880.90","22,848,005",,,,
TotalLiabilitiesNetMinorityInterest,"340,345,000","276,587,000","453,449,000","211,341,000","662,009,000","695,051,000","755,283,000","837,827,000","662,005,000","532,571,000","606,037,000","546,822,000","591,048,000","765,291,000","512,053,034.70","504,593,750","36,327,436.11","501,018.47","208,031,000","77,212,000"
"	CurrentLiabilities","176,940,000","247,802,000","432,171,000","134,104,000","614,502,000","634,140,000","704,611,000","751,978,000","605,195,000","532,571,000","596,611,000","546,822,000","487,576,000","499,347,000","509,170,520.20","499,838,458.50","2,358,461.49","501,018.47","205,158,000","77,212,000"
"		PayablesAndAccruedExpenses","96,773,000","106,608,000","339,284,000","38,790,000","167,382,000","101,766,000","80,058,000","111,180,000","88,906,000","78,312,000","138,803,000","330,356,000","288,788,000","125,522,000","25,571,457.40","32,923,733","2,014,545.75","4,329.47",,
"			Payables","85,024,000","101,750,000","337,379,000","34,530,000","160,326,000","92,543,000","68,476,000","104,880,000","83,176,000","72,808,000","138,803,000","330,356,000","288,788,000","125,522,000","21,993,980.50","28,838,542",,,,
"				AccountsPayable","9,597,000","9,723,000","7,955,000","1,454,000","4,374,000","4,389,000","4,525,000","4,590,000","5,031,000","5,740,000","8,960,000","13,938,000","7,924,000","14,365,000","21,993,980.50","28,838,542",,,,
"				TotalTaxPayable","936,000","656,000",,"303,000","658,000","768,000","773,000","39,881,000","39,842,000","39,410,000","44,075,000","39,661,000","39,059,000","39,059,000",,,,,,
"					IncomeTaxPayable","936,000","656,000",,,0,"37,000",0,"39,060,000","39,060,000","39,060,000","44,075,000","39,661,000","39,059,000","39,059,000",,,,,,
"				DuetoRelatedPartiesCurrent","26,481,000","42,633,000","293,732,000","11,592,000","103,905,000","42,284,000","11,711,000","1,530,000","14,408,000","9,675,000","50,112,000",,,"22,044,000",,,,,,
"				OtherPayable","48,010,000","48,738,000","35,692,000","21,181,000","51,389,000","45,102,000","51,467,000","58,879,000","23,895,000","17,983,000","35,656,000","276,757,000","241,805,000","50,054,000",,,,,,
"			CurrentAccruedExpenses","11,749,000","4,858,000","1,905,000","4,260,000","7,056,000","9,223,000","11,582,000","6,300,000","5,730,000","5,504,000",,,,,"3,577,476.90","4,085,191","2,014,545.75","4,329.47",,
"				InterestPayable",,"1,430,000","390,000","390,000","1,813,000","1,813,000","1,827,000","1,826,000","1,813,000","1,813,000",,,,,,,,,,
"		PensionandOtherPostRetirementBenefitPlansCurrent",,,,,,,,0,"19,002,000","1,907,000",,,,,,,,,,
"		CurrentDebtAndCapitalLeaseObligation","559,000","78,611,000","78,235,000","58,839,000","217,057,000","244,000,000","262,715,000","225,410,000","39,000,000","20,000,000","85,900,000","198,186,000","163,940,000","268,400,000","252,784,675.70","63,029,814.50",,"496,689",,
"			CurrentDebt",,"78,611,000","78,235,000","58,839,000","217,057,000","244,000,000","262,715,000","225,410,000","39,000,000","20,000,000","85,900,000","198,186,000","163,940,000","268,400,000","252,784,675.70","63,029,814.50",,"496,689",,
"				CurrentNotesPayable",,,,"8,335,000",,,,,,,0,"117,896,000",,,,,,"496,689",,
"				OtherCurrentBorrowings",,"78,611,000","78,235,000","58,839,000","217,057,000","244,000,000","262,715,000","225,410,000","39,000,000",,"85,900,000","80,290,000",,,,,,0,,
"			CurrentCapitalLeaseObligation","559,000",,,,,,,,,,,,,,,,,,,
"		CurrentDeferredLiabilities","66,383,000","62,583,000","14,652,000","5,434,000","230,063,000","288,374,000","361,838,000","415,388,000","458,287,000","417,745,000","371,908,000","18,280,000","34,848,000","105,425,000","24,078,867.70","181,661,823.50",,,"74,764,000",
"			CurrentDeferredRevenue","66,383,000","62,583,000","14,652,000","5,434,000","230,063,000","288,374,000","361,838,000","415,388,000","458,287,000","417,745,000","371,908,000","18,280,000","34,848,000","105,425,000","24,078,867.70","181,661,823.50",,,"74,764,000",
"		OtherCurrentLiabilities","13,225,000",,,"31,041,000","5,243,000","7,410,000",,"4,474,000",0,"14,607,000",0,0,0,0,"206,735,519.40","222,223,087.50","343,915.74",0,"130,394,000",
"	TotalNonCurrentLiabilitiesNetMinorityInterest","163,405,000","28,785,000","21,278,000","77,237,000","47,507,000","60,911,000","50,672,000","85,849,000","56,810,000",0,"9,426,000",0,"103,472,000","265,944,000","2,882,514.50","4,755,291.50","33,968,974.62",,"2,873,000",0
"		LongTermDebtAndCapitalLeaseObligation","140,331,000",,,"56,769,000","20,000,000","40,972,000","31,023,000","64,819,000","35,000,000",,0,0,"66,234,000","175,549,000","1,879,557.40","1,881,125.50",,,,
"			LongTermDebt","137,660,000",,,"56,769,000","20,000,000","40,972,000","31,023,000","64,819,000","35,000,000",,0,0,"66,234,000","175,549,000","1,879,557.40","1,881,125.50",,,,
"			LongTermCapitalLeaseObligation","2,671,000",,,,,,,,,,,,,,,,,,,
"		DerivativeProductLiabilities",,,,,,,,,,,,,"33,580,000",,,,,,,
"		LiabilitiesHeldforSaleNonCurrent",,,,0,,,,,,,,,,,,,,,,
"		OtherNonCurrentLiabilities","23,074,000","28,785,000","21,278,000","20,468,000","27,507,000","19,939,000","19,649,000","21,030,000","21,810,000",0,"9,426,000",0,"3,658,000","90,395,000","1,002,957.10","2,874,166",,,"2,873,000",0
TotalEquityGrossMinorityInterest,"-85,462,000","-15,475,000","-23,348,000","112,799,000","218,617,000","290,778,000","309,587,000","320,245,000","313,432,000","285,811,000","328,974,000","277,722,000","303,248,000","345,692,000","471,223,993.70","294,529,353.50","136,554,201.80","202,524.94","49,357,000","20,222,000"
"	StockholdersEquity","-77,190,000","-22,684,000","-24,711,000","112,309,000","180,288,000","241,194,000","255,997,000","266,042,000","261,047,000","259,037,000","271,885,000","226,333,000","264,024,000","296,917,000","458,185,551.40","291,291,880","136,554,201.80","202,524.94","46,086,000","19,712,000"
"		CapitalStock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,056.29",720.199,,
"			PreferredStock",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"			CommonStock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,056.29",720.199,,
"		AdditionalPaidInCapital","514,675,000","494,098,000","428,311,000","411,981,000","411,296,000","402,500,000","400,888,000","399,564,000","397,671,000","394,344,000","387,052,000","391,620,000","388,860,000","377,324,000","340,523,678.70","246,193,309","142,081,886.80","206,233.55",,
"		RetainedEarnings","-559,104,000","-473,843,000","-411,723,000","-258,060,000","-182,386,000","-116,808,000","-103,000,000","-93,473,000","-100,967,000","-99,533,000","-76,454,000","-125,507,000","-84,690,000","-41,404,000","121,697,393","45,486,099","-5,531,741.29","-4,428.81",,
"		TreasuryStock","10,356,000","19,163,000","19,163,000","22,791,000","37,445,000","37,445,000","37,445,000","35,659,000","29,377,000","29,377,000","29,377,000","29,377,000","29,377,000","29,377,000",,,,,,
