name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,
TotalRevenue,"395,521,000","362,745,000","376,089,000","347,448,000","318,263,000","327,604,000","313,403,000","323,264,000","334,335,000","247,915,000","201,971,000","275,976,000","392,893,000","367,994,000","322,477,000","275,177,000","270,673,000","192,372,000","214,528,000","229,241,000","231,880,000","216,100,000","223,300,000","224,700,000","194,600,000","180,300,000","186,000,000","163,400,000","227,000,000","194,100,000","184,000,000","191,800,000","124,900,000",
"	OperatingRevenue","395,521,000","362,745,000","376,089,000","358,132,000","328,081,000","345,887,000","338,352,000","334,070,000","338,232,000","247,915,000","201,971,000","275,976,000","392,893,000","367,994,000","322,477,000","275,177,000","270,673,000","192,372,000","214,528,000","229,241,000","231,880,000","216,100,000","223,300,000","224,700,000","194,600,000","180,300,000","186,000,000","163,400,000","227,000,000","194,100,000","184,000,000","191,800,000","124,900,000",
"	ExciseTaxes",,,,"10,684,000","9,818,000","18,283,000","24,949,000","10,806,000","3,897,000",,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"296,715,000","286,213,000","292,490,000","271,432,000","252,980,000","269,071,000","284,972,000","302,025,000","309,312,000","225,038,000","171,427,000","310,078,000","388,662,000","321,941,000","277,264,000","249,936,000","245,766,000","202,112,000","193,325,000","212,058,000","197,463,000","187,000,000","200,600,000","199,700,000","176,300,000","150,400,000","141,100,000","124,400,000","185,500,000","158,700,000","154,200,000","156,700,000","93,500,000",
GrossProfit,"98,806,000","76,532,000","83,599,000","76,016,000","65,283,000","58,533,000","28,431,000","21,239,000","25,023,000","22,877,000","30,544,000","-34,102,000","4,231,000","46,053,000","45,213,000","25,241,000","24,907,000","-9,740,000","21,203,000","17,183,000","34,417,000","29,100,000","22,700,000","25,000,000","18,300,000","29,900,000","44,900,000","39,000,000","41,500,000","35,400,000","29,800,000","35,100,000","31,400,000",
OperatingExpense,"44,565,000","29,290,000","33,451,000","33,107,000","23,308,000","25,683,000","20,102,000","26,438,000","25,967,000","21,983,000","23,289,000","26,095,000","33,881,000","18,893,000","22,843,000","18,611,000","9,619,000","-3,786,000","9,824,000","13,545,000","25,624,000","25,500,000","25,300,000","23,200,000","22,900,000","19,300,000","19,400,000","16,900,000","21,400,000","18,400,000","17,000,000","16,100,000","15,000,000",
"	SellingGeneralAndAdministration","44,565,000","29,290,000","33,451,000","33,107,000","26,693,000","25,683,000","20,101,000","26,202,000","26,536,000","21,157,000","20,708,000","21,401,000","24,235,000","20,319,000","23,811,000","19,318,000","20,339,000","13,617,000","14,689,000","13,545,000","12,109,000","11,900,000","11,400,000","9,200,000","9,000,000","10,600,000","12,200,000","10,700,000","14,200,000","11,900,000","10,300,000","10,000,000","9,600,000",
"		GeneralAndAdministrativeExpense",,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"	DepreciationAmortizationDepletionIncomeStatement",,,,,,,,,,,,,,,,,,,,,"13,515,000","13,600,000","13,900,000","14,000,000","13,900,000","8,700,000","7,200,000","6,200,000","7,200,000","6,500,000","6,700,000","6,100,000","5,400,000",
"		DepreciationAndAmortizationInIncomeStatement",,,,,,,,,,,,,,,,,,,,,"13,515,000","13,600,000","13,900,000","14,000,000","13,900,000","8,700,000","7,200,000","6,200,000","7,200,000","6,500,000","6,700,000","6,100,000","5,400,000",
"	OtherOperatingExpenses",,,,,"-3,385,000",,"1,000","236,000","-569,000","826,000","2,581,000","4,694,000","9,646,000","-1,426,000","-968,000","-707,000","-10,720,000","-17,403,000","-4,865,000",,,,,,,,,,,,,,,
OperatingIncome,"54,241,000","47,242,000","50,148,000","42,909,000","41,975,000","32,850,000","8,329,000","-5,199,000","-944,000","894,000","7,255,000","-60,197,000","-29,650,000","27,160,000","22,370,000","6,630,000","15,288,000","-5,954,000","11,379,000","3,638,000","8,793,000","3,600,000","-2,600,000","1,800,000","-4,600,000","10,600,000","25,500,000","22,100,000","20,100,000","17,000,000","12,800,000","19,000,000","16,400,000",
NetNonOperatingInterestIncomeExpense,"-1,640,000","-1,305,000","-1,168,000","-1,184,000","-1,294,000","-534,000","-816,000","-1,118,000","-870,000","-358,000","-1,757,000","-2,901,000",,,,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","1,640,000","1,305,000","1,168,000","1,184,000","1,294,000","534,000","816,000","1,118,000","870,000","358,000","1,757,000","2,901,000",,,,,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,"1,305,000","1,168,000","1,184,000","1,294,000","534,000","816,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,"11,033,000","4,036,000","6,102,000","18,427,000","-204,000","3,756,000","-1,781,000","-1,528,000","-18,813,000","-2,099,000","2,916,000","1,105,000","1,597,000","12,170,000","33,104,000","5,091,000","2,106,000","758,000","400,000","700,000","1,000,000","1,500,000","-4,200,000","200,000","1,000,000","1,200,000","500,000","600,000","1,600,000","800,000",
"	GainOnSaleOfSecurity",,,,"11,381,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest",,0,0,"-348,000","4,036,000","6,102,000","10,137,000","-204,000","-301,000","-1,540,000","-2,173,000","-114,000","-14,000",,,,,,,,,,,,,,,,,,,,,
"	SpecialIncomeCharges",,0,0,"11,381,000",0,,"8,290,000",0,"4,055,000","-241,000","645,000","-18,699,000","-2,085,000","2,916,000","1,105,000","1,597,000","12,170,000","33,104,000","5,091,000","2,106,000","758,000","400,000","700,000","1,000,000","1,500,000","-4,200,000","200,000","1,000,000","1,200,000","500,000","600,000","1,600,000","800,000",
"		RestructuringAndMergernAcquisition",,,,,,,,,,"249,000",0,"5,241,000",,,,,,,,,,,,,,,,,,,,,,
"		ImpairmentOfCapitalAssets",,,,,,,,,0,0,0,"10,282,000",,,,,,,,,,,,,,,,,,,,,,
"		WriteOff",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges",,,,"-11,381,000",,,"-8,290,000","236,000","-571,000","-8,000","-645,000","3,176,000",,,,,,,,,,,,,,,,,,,,,,
"		GainOnSaleOfBusiness",,0,0,"11,381,000",,,,0,"4,055,000",,,,,,,,,,,,,,,,,,,,,,,,,
"		GainOnSaleOfPPE",,,,,,,,"-236,000","569,000",,,,,,,,,,,,,,,,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses",,,,,"3,385,000",,"-1,000","-236,000","2,000",,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"52,601,000","45,937,000","48,980,000","52,758,000","44,717,000","38,418,000","25,940,000","-6,521,000","1,942,000","-1,245,000","3,970,000","-81,911,000","-23,593,000","27,686,000","21,025,000","6,127,000","15,650,000","8,521,000","10,368,000","4,397,000","8,082,000","2,100,000","-3,700,000","200,000","-5,600,000","5,600,000","25,600,000","22,900,000","21,300,000","17,400,000","13,100,000","20,500,000","15,900,000",
TaxProvision,"12,256,000","7,144,000","11,696,000","10,935,000","13,533,000","12,227,000","2,265,000","-714,000","318,000","68,000","-4,768,000","-12,788,000","-11,851,000","9,988,000","7,030,000","2,123,000","6,182,000","3,367,000","4,109,000","1,737,000","3,192,000","800,000","-1,500,000","100,000","-2,200,000","2,300,000","9,700,000","8,300,000","7,800,000","6,300,000","4,700,000","7,400,000","5,800,000",
NetIncomeCommonStockholders,"40,084,000","38,540,000","36,576,000","40,827,000","30,230,000","25,318,000","23,675,000","-4,929,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","16,200,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000",
"	NetIncome","40,345,000","38,793,000","37,284,000","41,823,000","31,184,000","26,191,000","23,675,000","-4,929,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","16,200,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000",
"		NetIncomeIncludingNoncontrollingInterests","40,345,000","38,793,000","37,284,000","41,823,000","31,184,000","26,191,000","23,675,000","-4,929,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","16,200,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000",
"			NetIncomeContinuousOperations","40,345,000","38,793,000","37,284,000","41,823,000","31,184,000","26,191,000","23,675,000","-5,807,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","14,600,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000",
"			NetIncomeDiscontinuousOperations",,,,,,,0,"878,000",,,,,,,,,,,,,,,,,,,,"1,700,000",,,,,,
"			NetIncomeExtraordinary",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000",,,,,,
"	OtherunderPreferredStockDividend","261,000","253,000","708,000","996,000","954,000","873,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"40,084,000","38,540,000","36,576,000","40,827,000","30,230,000","25,318,000","23,675,000","-4,929,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","16,200,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000",
