name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"799,000","799,000","806,000","556,000","944,000","1,159,000","2,594,000","2,800,000","5,394,000","42,316,000","1,425,000","448,000","1,425,000","1,555,000","1,683,000","4,590,000","2,781,001","3,678,204","2,383,225","1,989,000"
"	OperatingRevenue","799,000","799,000","806,000","556,000","944,000","1,159,000","2,594,000","2,800,000","5,394,000","42,316,000","1,425,000","448,000","1,425,000","1,555,000","1,683,000","4,590,000","2,781,001","3,678,204","2,383,225","1,989,000"
CostOfRevenue,,,,,,,"660,000","1,482,000","3,026,000","1,426,000","24,445,000","23,673,000","24,471,000",,,,"5,980,339","5,426,601",,
GrossProfit,,,,,,,"1,934,000","1,318,000","2,368,000","40,890,000","-23,020,000","-23,225,000","-23,046,000",,,"4,590,000","-3,199,338","-1,748,397",,
OperatingExpense,"10,408,000","10,408,000","9,402,000","9,830,000","10,227,000","11,407,000","25,677,000","28,147,000","32,870,000","37,287,000","15,841,000","15,714,000","15,683,000","40,447,000","35,499,000","22,114,000","3,825,303","3,251,800",,"7,053,000"
"	SellingGeneralAndAdministration","5,047,000","5,047,000","4,554,000","5,071,000","5,630,000","5,737,000","9,105,000","10,805,000","13,743,000","14,110,000","15,841,000","15,714,000","15,683,000","15,780,000","15,598,000","10,879,000","3,825,303","3,251,800",,"2,644,000"
"		GeneralAndAdministrativeExpense","5,047,000","5,047,000","4,554,000","5,071,000",,,,,,,,,,,,,,,,
"			OtherGandA","5,047,000","5,047,000","4,554,000","5,071,000",,,,,,,,,,,,,,,,
"	ResearchAndDevelopment","5,361,000","5,361,000","4,848,000","4,759,000","4,597,000","5,670,000","16,572,000","17,342,000","19,127,000","23,177,000",,,,"24,667,000","19,901,000","11,235,000",,,,
"	OtherOperatingExpenses",,,,,,,,,,,,,,,,,,,,"4,409,000"
OperatingIncome,"-9,609,000","-9,609,000","-8,596,000","-9,274,000","-9,283,000","-10,248,000","-23,743,000","-26,829,000","-30,502,000","3,603,000","-38,861,000","-38,939,000","-38,729,000","-38,892,000","-33,816,000","-17,524,000","-7,024,641","-5,000,197","2,383,225","-5,064,000"
NetNonOperatingInterestIncomeExpense,0,0,"-1,158,000",,,,"5,000","7,000","51,000","27,000","76,000","136,000","772,000",,,,,,,
"	InterestIncomeNonOperating",,,"96,000",,,,,,,,"76,000",,,,,,,,,
"	InterestExpenseNonOperating",,,"13,018,000",,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,,"1,254,000",,,,"-5,000","-7,000","-51,000","-27,000","-76,000","-136,000","-772,000",,,,,,,
OtherIncomeExpense,"-541,000","-541,000","-3,456,000","104,000","-113,000","-38,000","57,000","54,000","-55,000",,,,,,,,"-700,000",,,
"	GainOnSaleOfSecurity","-957,000","-957,000","-3,477,000",,,,,,,,,,,,,,,,,
"	SpecialIncomeCharges","333,000","333,000",,,"-113,000","-38,000","57,000","54,000","-55,000",,,,,,,,"-700,000",,,
"		OtherSpecialCharges","-333,000","-333,000",,,,,,"-11,000",,,,,,,,,,,,
"		GainOnSaleOfPPE",,,,,,,,"43,000",,,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","83,000","83,000","21,000","104,000",,,,,,,,,,,,,,,,
