name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"52,513,000","52,513,000","92,440,000","12,927,000","0","335,251,000","376,250,000","414,891,000","481,694,000","552,111,000","567,434,000","584,860,000","592,492,000","513,490,000","489,379,000","207,383,994.5",,,"98,717,000","75,056,000"
	OperatingRevenue,"52,513,000","52,513,000","92,440,000","12,927,000","0","335,251,000","376,250,000","414,891,000","481,694,000","552,111,000","567,434,000","584,860,000","592,492,000","513,490,000","489,379,000","207,383,994.5",,,"98,717,000","75,056,000"
CostOfRevenue,"49,000,000","49,000,000","105,270,000","7,047,000","0","259,253,000","264,039,000","301,148,000","315,082,000","387,783,000","371,591,000","353,587,000","392,842,000","404,795,000","462,852,000","129,216,367.5",,,"46,006,000","50,341,000"
GrossProfit,"3,513,000","3,513,000","-12,830,000","5,880,000","0","75,998,000","112,211,000","113,743,000","166,612,000","164,328,000","195,843,000","231,273,000","199,650,000","108,695,000","26,527,000","78,167,627",,,"52,711,000","24,715,000"
OperatingExpense,"67,005,000","67,005,000","43,506,000","41,399,000","68,560,000","137,306,000","110,871,000","138,222,000","148,449,000","167,799,000","183,230,000","169,291,000","153,954,000","151,071,000","178,681,000","60,712,720","6,905,483.723","4,428.81","21,494,000","20,139,000"
	SellingGeneralAndAdministration,"62,889,000","62,889,000","31,267,000","32,558,000","34,906,000","100,238,000","80,671,000","105,400,000","121,528,000","134,022,000","143,579,000","130,935,000","120,481,000","126,558,000","150,240,000","56,038,163.5","6,905,483.723","4,428.81","16,122,000","8,900,000"
		GeneralAndAdministrativeExpense,"58,069,000","58,069,000","27,229,000","32,147,000","34,906,000","62,159,000","40,684,000","46,428,000","66,153,000","77,585,000","86,748,000","78,708,000","64,833,000","73,355,000","92,246,000",,,,"9,642,000",
			OtherGandA,"58,069,000","58,069,000","27,229,000","32,147,000","34,906,000","62,159,000","40,684,000","46,428,000","66,153,000","77,585,000","86,748,000","78,708,000","64,833,000","73,355,000","92,246,000",,,,"9,642,000",
		SellingAndMarketingExpense,"4,820,000","4,820,000","4,038,000","411,000","0","38,079,000","39,987,000","58,972,000","55,375,000","56,437,000","56,831,000","52,227,000","55,648,000","53,203,000","57,994,000",,,,"6,480,000","8,900,000"
	ResearchAndDevelopment,"4,116,000","4,116,000","13,267,000","27,132,000","38,682,000","44,032,000","48,741,000","40,377,000","42,162,000","37,629,000","44,771,000","38,356,000","33,473,000","24,513,000","28,441,000","6,983,577.5",,,"5,372,000","2,497,000"
	OtherOperatingExpenses,,,"-1,028,000","-18,291,000","-5,028,000","-6,964,000","-18,541,000","-7,555,000","-15,241,000","-3,852,000","-5,120,000",,,,,"-2,309,021",,,,"8,742,000"
OperatingIncome,"-63,492,000","-63,492,000","-56,336,000","-35,519,000","-68,560,000","-61,308,000","1,340,000","-24,479,000","18,163,000","-3,471,000","12,613,000","61,982,000","45,696,000","-42,376,000","-152,154,000","17,454,907","-6,905,483.723","-4,428.81","31,217,000","4,576,000"
NetNonOperatingInterestIncomeExpense,"-5,796,000","-5,796,000","-4,677,000","-22,781,000","-7,579,000","-14,089,000","-17,859,000","-19,147,000","-9,550,000","-1,482,000","302,000","-6,905,000","-14,748,000","-31,740,000","-10,755,000",,,,"23,000",
	InterestIncomeNonOperating,,,"3,000","6,000","1,427,000","162,000","775,000","596,000","1,776,000","2,547,000","1,771,000","1,634,000","2,036,000","5,199,000","10,942,000",,,,"440,000",
	InterestExpenseNonOperating,"5,796,000","5,796,000","4,680,000","22,787,000","9,006,000","14,251,000","18,634,000","19,743,000","11,326,000","4,029,000","1,469,000","8,539,000","16,784,000","36,939,000","21,697,000",,,,"417,000",
OtherIncomeExpense,"-33,129,000","-33,129,000","-4,130,000","-94,490,000","5,028,000","6,964,000","18,541,000","-4,897,000","5,161,000","4,030,000","-11,966,000","20,593,000","-41,141,000","28,559,000","13,244,000","3,487,752",,,"-583,000","6,584,000"
	GainOnSaleOfSecurity,,,,,,"0","0",,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,"0","0","-776,000","5,161,000","4,030,000","1,616,000","8,883,000","4,669,000","7,702,000","-669,000","880,011.5",,,,
	SpecialIncomeCharges,"-34,085,000","-34,085,000","-4,130,000","-94,490,000","5,028,000","0","0","-4,121,000","0","0","-13,582,000","11,710,000","-45,810,000","20,857,000","13,913,000","2,607,740.5",,,,"6,584,000"
		WriteOff,"34,085,000","34,085,000","4,130,000","3,807,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,"-6,964,000","-18,541,000",,"-15,241,000",,,,,,"-13,913,000",,,,,
		GainOnSaleOfBusiness,"0","0","0","-90,683,000",,"0","0","-4,121,000","0","0","-13,582,000",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"956,000","956,000",,,,,,,,,,,,,,,,,,
PretaxIncome,"-102,417,000","-102,417,000","-65,143,000","-152,790,000","-76,139,000","-75,397,000","-16,519,000","-48,523,000","13,774,000","-923,000","949,000","75,670,000","-10,193,000","-45,557,000","-149,665,000","17,689,038.5",,,"30,634,000","11,122,000"
TaxProvision,"425,000","425,000","510,000","0","0","1,436,000","1,295,000","-38,383,000","4,462,000","1,862,000","13,730,000","9,319,000","11,732,000","-3,995,000","-49,000","1,404,789",,,"1,498,000","3,232,000"
NetIncomeCommonStockholders,"-85,261,000","-85,261,000","-62,250,000","-153,663,000","-75,674,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.477","-4,428.81","26,561,000","8,115,000"
	NetIncome,"-85,261,000","-85,261,000","-62,120,000","-153,663,000","-75,674,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.477","-4,428.81","26,561,000","8,115,000"
		NetIncomeIncludingNoncontrollingInterests,"-102,842,000","-102,842,000","-65,653,000","-152,790,000","-106,261,000","-76,833,000","-17,814,000","-10,140,000","9,312,000","-2,785,000","-12,781,000","66,351,000","-21,000","-41,562,000","-149,616,000","16,284,249.5","-5,527,312.477","-4,428.81","29,136,000","7,890,000"
			NetIncomeContinuousOperations,"-102,842,000","-102,842,000","-65,653,000","-152,790,000","-76,139,000","-76,833,000","-17,814,000","-10,140,000","9,312,000","-2,785,000","-12,781,000","66,351,000","-21,000","-41,562,000","-149,616,000","16,421,499","-5,527,312.477","-4,428.81","29,136,000","7,890,000"
			NetIncomeDiscontinuousOperations,,,"0","0","-30,122,000","0",,,,,,,,,,,,,,
		MinorityInterests,"17,581,000","17,581,000","3,533,000","-873,000","30,587,000","11,255,000","4,006,000","613,000","-1,818,000","1,351,000","-10,298,000","-17,298,000","-18,892,000","-1,724,000","-13,584,000","137,249.5",,,"-2,575,000","225,000"
	OtherunderPreferredStockDividend,,,"130,000",,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-85,261,000","-85,261,000","-62,250,000","-153,663,000","-75,674,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.477","-4,428.81","26,561,000","8,115,000"
BasicEPS,,"-16.95","-14.87","-50.18","-32.4","-28.7","-6.1","-4.2","3.2","-0.6","-10","21.2","-17.7","-18.8","-70.1","15.206","-14.073","0","26.561","8.115"
DilutedEPS,,"-16.95","-14.87","-50.18","-32.4","-28.7","-6.1","-4.2","3.2","-0.6","-10","21","-17.7","-18.8","-70.1","14.606","-14.073","0","26.561","8.115"
BasicAverageShares,,"5,029,017","4,184,032","3,061,979","2,334,312","2,285,854","2,279,479","2,274,385","2,325,912","2,338,281","2,307,289","2,318,946","2,301,369","2,298,727","2,326,806","1,078,671","403,900","87,500","1,000,000","1,000,000"
DilutedAverageShares,,"5,029,017","4,185,840","3,061,979","2,334,312","2,285,854","2,279,479","2,274,385","2,327,844","2,338,281","2,307,289","2,333,726","2,301,369","2,298,727","2,326,806","1,122,015","403,900","87,500","1,000,000","1,000,000"
TotalOperatingIncomeAsReported,"-91,583,000","-91,583,000","-56,336,000","-35,519,000","-68,560,000","-61,308,000","1,340,000","-24,479,000","18,163,000","-3,471,000","12,613,000","61,982,000","45,696,000","-42,376,000","-152,154,000","17,454,907","-6,905,483.723","-4,428.81","31,217,000","4,576,000"
TotalExpenses,"116,005,000","116,005,000","148,776,000","48,446,000","68,560,000","396,559,000","374,910,000","439,370,000","463,531,000","555,582,000","554,821,000","522,878,000","546,796,000","555,866,000","641,533,000","189,929,087.5","6,905,483.723","4,428.81","67,500,000","70,480,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-85,261,000","-85,261,000","-62,120,000","-153,663,000","-75,674,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.477","-4,428.81","26,561,000","8,115,000"
NormalizedIncome,"-51,176,000","-51,176,000","-59,022,500","-59,173,000","-45,552,000","-65,578,000","-13,808,000","-6,436,250","7,494,000","-1,434,000","-12,892,500","38,785,123.563","-6,459,500","-62,314,000.834","-177,108,444.914","14,020,854.277","-5,527,312.477","-4,428.81","26,561,000","3,444,278.907"
