,name,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
0,TotalAssets,"1,027,178",121,146,"644,660","644,672","707,328",829,644
1,"	CurrentAssets","154,383",121,146,"1,143","1,155","13,811",829,644
2,"		CashCashEquivalentsAndShortTermInvestments","68,644",121,146,"1,143","1,155","10,726",829,644
3,"			CashAndCashEquivalents","68,644",121,146,"1,143","1,155","10,726",829,644
4,"				CashFinancial","68,644",121,,,,,,
5,"		Receivables","70,857",,,,,,,
6,"			AccountsReceivable","45,807",,,,,,,
7,"			NotesReceivable","25,050",,,,,,,
8,"			OtherReceivables",0,,,,,,,
9,"		Inventory","7,823",,,,,,,
10,"		PrepaidAssets",,,,,,"3,085",,
11,"		OtherCurrentAssets","7,059",,,,,,,
12,"	TotalNonCurrentAssets","872,795",0,0,"643,517","643,517","693,517",0,0
13,"		NetPPE","624,171",0,,"643,517","643,517","693,517",,
14,"			GrossPPE","625,918",,,"643,517","643,517","693,517",,
15,"				Properties","601,566",,,,,,,
16,"				MachineryFurnitureEquipment","24,352",,,,,,,
17,"				OtherProperties",0,,,,,,,
18,"			AccumulatedDepreciation","-1,747",,,,,,,
19,"		OtherNonCurrentAssets","248,624",,,0,0,0,,
20,TotalLiabilitiesNetMinorityInterest,"484,707","633,300","586,026","512,368","307,278","68,502","6,471","5,024"
21,"	CurrentLiabilities","484,707","633,300","586,026","391,887","242,064","10,168","6,471","5,023"
22,"		PayablesAndAccruedExpenses","168,210","147,410","513,292","391,887","242,064","10,168","6,149","4,773"
23,"			Payables",,,"513,292","391,887","242,064","10,168","6,149","4,773"
24,"				AccountsPayable",,,"513,292","391,887","242,064","10,168","6,149","4,773"
25,"				OtherPayable",,,0,0,0,0,0,0
26,"		CurrentDebtAndCapitalLeaseObligation","239,951","445,864","72,734",,,,322,250
27,"			CurrentDebt","239,951","445,864","72,734",,,,,
28,"				CurrentNotesPayable","239,951","445,864","70,444",,,,,
29,"				OtherCurrentBorrowings",0,0,"2,290",,,,,
30,"			CurrentCapitalLeaseObligation",,,,,,,322,250
31,"		OtherCurrentLiabilities","76,546","40,026",0,0,0,0,0,0
32,"	TotalNonCurrentLiabilitiesNetMinorityInterest",0,0,,"120,481","65,214","58,334",,1
33,"		LongTermDebtAndCapitalLeaseObligation",,,,"120,481","65,214","58,334",,
34,"			LongTermDebt",,,,"120,481","65,214","58,334",,
35,"		OtherNonCurrentLiabilities",,,,0,0,0,,
36,TotalEquityGrossMinorityInterest,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
37,"	StockholdersEquity","542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
38,"		CapitalStock","53,288",188,188,"35,367","35,367","35,367","10,200","7,918"
39,"			PreferredStock",0,0,,,,,,
40,"			CommonStock","53,288",188,188,"35,367","35,367","35,367","10,200","7,918"
41,"			OtherCapitalStock",0,0,0,0,0,0,0,0
42,"		AdditionalPaidInCapital","2,981,174","1,194,211","1,194,211","950,032","950,032","950,032","22,900","17,777"
43,"		RetainedEarnings","-2,477,707","-1,812,065","-1,793,828","-829,386","-657,753","-353,319","-38,841","-30,152"
44,"		GainsLossesNotAffectingRetainedEarnings","-14,284","-15,513","13,549","-23,721","9,748","6,746",99,77
45,"			ForeignCurrencyTranslationAdjustments",,,,,,,99,77
46,"			OtherEquityAdjustments",,,,,,,0,0
47,TotalCapitalization,"542,471","-633,179","-585,880","252,773","402,608","697,160","-5,642","-4,380"
48,CommonStockEquity,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
49,CapitalLeaseObligations,,,,,,,322,250
50,NetTangibleAssets,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
51,WorkingCapital,"-330,324","-633,179","-585,880","-390,744","-240,909","3,643","-5,642","-4,379"
52,InvestedCapital,"782,422","-187,315","-513,146","252,773","402,608","697,160","-5,642","-4,380"
53,TangibleBookValue,"542,471","-633,179","-585,880","132,292","337,394","638,826","-5,642","-4,380"
54,TotalDebt,"239,951","445,864","72,734","120,481","65,214","58,334",322,250
55,NetDebt,"171,307","445,743","72,588","119,338","64,059","47,608",,
56,ShareIssued,"5,328,782","18,805","18,805","18,805","18,805","18,805","18,805","18,805"
57,OrdinarySharesNumber,"5,328,782","18,805","18,805","18,805","18,805","18,805","18,805","18,805"
0,TotalRevenue,0,0,,,,,,
1,"	OperatingRevenue",0,0,,,,,,
2,CostOfRevenue,"122,720",0,,,,,,
3,GrossProfit,"-122,720",0,,,,,,
4,OperatingExpense,"317,598","13,968","818,412","167,049","249,175","325,798","26,692","20,721"
5,"	SellingGeneralAndAdministration","315,851","26,005","166,486","154,460","140,498","317,724","26,692","20,721"
6,"		GeneralAndAdministrativeExpense","315,281","26,005",,,,,,
7,"			RentAndLandingFees","2,250",0,,,,,,
8,"			InsuranceAndClaims",782,,,,,,,
9,"			OtherGandA","312,249","26,005",,,,,,
10,"		SellingAndMarketingExpense",570,,,,,,,
11,"	DepreciationAmortizationDepletionIncomeStatement","1,747",,,,,,,
12,"		DepreciationAndAmortizationInIncomeStatement","1,747",,,,,,,
13,"			DepreciationIncomeStatement","1,747",,,,,,,
14,"	OtherOperatingExpenses",,"-12,037","651,926","12,589","108,677","8,074",,
15,OperatingIncome,"-440,318","-13,968","-818,412","-167,049","-249,175","-325,798","-26,692","-20,721"
16,NetNonOperatingInterestIncomeExpense,"-6,105","-4,269",,,,,,
17,"	InterestExpenseNonOperating","6,105","4,269",,,,,,
18,OtherIncomeExpense,"-2,031,284",0,"-790,883",,,"127,349",0,0
19,"	SpecialIncomeCharges","-2,031,284",0,"-790,883",,,"127,349",,
20,"		ImpairmentOfCapitalAssets",,0,,,,,,
21,PretaxIncome,,,,,,,"-26,692","-20,721"
22,NetIncomeCommonStockholders,"-2,477,707","-18,237","-964,442","-171,633","-254,434","-198,449","-26,692","-20,721"
23,"	NetIncome","-2,477,707","-18,237","-964,442","-171,633","-254,434","-198,449","-26,692","-20,721"
24,"		NetIncomeIncludingNoncontrollingInterests","-2,477,707","-18,237","-964,442","-171,633","-254,434","-198,449","-26,692","-20,721"
25,"			NetIncomeContinuousOperations","-2,477,707","-18,237","-964,442","-171,633","-254,434","-198,449","-26,692","-20,721"
26,DilutedNIAvailtoComStockholders,"-2,477,707","-18,237","-964,442","-171,633","-254,434","-198,449","-26,692","-20,721"
27,BasicEPS,-0.5,-1,-62.1,-0.049,-0.1,-17.335,-7.851,-4.065
28,DilutedEPS,-0.5,-1,-62.1,-0.049,-0.1,-17.335,-7.851,-4.065
29,BasicAverageShares,"4,595,688","18,805","15,519","3,536,688","3,536,688","11,448","3,400","5,097"
30,DilutedAverageShares,"4,595,688","18,805","15,519","3,536,688","3,536,688","11,448","3,400","5,097"
31,TotalOperatingIncomeAsReported,"-446,423","-18,237","-818,412","-167,049","-249,175","-325,798","-26,692","-20,721"
32,RentExpenseSupplemental,"2,250",0,,,,,,
33,TotalExpenses,"440,318","13,968","818,412","167,049","249,175","325,798","26,692","20,721"
34,NetIncomeFromContinuingAndDiscontinuedOperation,"-2,477,707","-18,237","-964,442","-171,633","-254,434","-198,449","-26,692","-20,721"
35,NormalizedIncome,"-446,423","-18,237","-173,559","-171,633","-254,434","-325,798","-26,692","-20,721"
36,InterestExpense,"6,105","4,269","4,619","4,584","5,259",,,
37,NetInterestIncome,"-6,105","-4,269",,,,,,
38,EBIT,"-440,318","-13,968","-818,412","-167,049","-249,175","-325,798","-26,692","-20,721"
39,EBITDA,,,,,,,,
40,ReconciledCostOfRevenue,"122,720",0,,,,,,
41,ReconciledDepreciation,"1,747",,,,,,,
42,NetIncomeFromContinuingOperationNetMinorityInterest,"-2,477,707","-18,237","-964,442","-171,633","-254,434","-198,449","-26,692","-20,721"
43,TotalUnusualItemsExcludingGoodwill,"-2,031,284",0,"-790,883",,,"127,349",,
44,TotalUnusualItems,"-2,031,284",0,"-790,883",,,"127,349",,
45,NormalizedEBITDA,"1,592,713","-13,968","-27,529","-167,049","-249,175","-453,147","-26,692","-20,721"
46,TaxRateForCalcs,0,0,0,0,0,0,0,0
47,TaxEffectOfUnusualItems,0,0,0,0,0,0,0,0
,,,,,,,,,
1,ROA1,-2.412149598,-150.7190083,-6605.767123,-0.266238017,-0.394672019,-0.280561493,-32.19782871,-32.17546584
2,ROA2,-4.823730968,-136.6067416,-2.991417574,-0.266235539,-0.376381657,-0.560466111,-36.24168364,-32.17546584
3,ROE,-4.567446,0.028802,1.646143,-1.29738,-0.754115,-0.310646,4.730946,4.730822
4,ROC,-3.166714,0.09736,1.879469,-0.679001,-0.631965,-0.284653,5.017293,5.017191
5,OperatingMargin,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,NetMargin,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,CurrentRatio,0.318508,0.000191,0.000249,0.002917,0.004771,1.358281,0.12811,0.12821
8,QuickRatio,0.302368,0.000191,0.000249,0.002917,0.004771,1.358281,0.12811,0.12821
9,D/Eratio,0.44233,-0.704167,-0.124145,0.91072,0.193287,0.091314,-0.057072,-0.057078
10,EPS,-0.464967,-0.969795,-51.286466,-9.126988,-13.530125,-10.552991,-1.41941,-1.101888
