,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2019,2020-01-01,40089457.0,-6635296.0,-1185778.0,24069329.0,22835356.0,31506.0,14253879.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,9685288,-0.29
1,2018,2019-01-01,30650402.0,343821.0,2589346.0,32511042.0,31690093.0,1643033.0,19784528.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,12726514,0.02
2,2017,2018-01-01,17270069.0,5309036.0,1796131.0,20004586.0,19073381.0,2745991.0,8873669.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,10670835,0.51
3,2016,,,891030.0,872726.0,6084990.0,4472718.0,,10329042.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-4244052,0.17
4,2015,,,-677358.0,-243341.0,63154.0,50981.0,,11163608.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-11100454,-0.34
5,2014,,,-707556.0,-527558.0,24615.0,17243.0,,10000640.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-11847161,
6,2013,,,3713866.0,-556852.0,28485.0,16530.0,,8436384.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-11256864,
7,2012,,,-1342432.0,-595559.0,42046.0,26081.0,,12002449.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-13806281,
8,2011,,,-1691319.0,-1422789.0,62999.0,42677.0,,10593526.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-12345438,
9,2010,,,-2275783.0,-2037783.0,131944.0,106022.0,,8768262.0,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-10372770,
10,2009,,,,,,,,,,KIWA BIO-TECH PRODUCTS GROUP CORP,0001159275,-7932417,
