name,ttm,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"263,000","916,000","871,000","499,000","535,000","353,000","468,000","1,407,000","1,269,000","1,900,000","5,300,000","5,000,000","6,400,000","8,800,000","7,600,000","6,300,000","6,900,000","7,600,000","10,100,000","19,500,000"
	OperatingRevenue,"263,000","916,000","871,000","499,000","535,000","353,000","468,000","1,407,000","1,269,000","1,900,000","5,300,000","5,000,000","6,400,000","8,800,000","7,600,000","6,300,000","6,900,000","7,600,000","10,100,000","19,500,000"
CostOfRevenue,"294,000","322,000","383,000","405,000","360,000","215,000","402,000","790,000","561,000","1,900,000","4,100,000","4,300,000","4,800,000","6,500,000","5,400,000","4,400,000","4,800,000","4,600,000","7,000,000","12,300,000"
GrossProfit,"-31,000","594,000","488,000","94,000","175,000","138,000","66,000","617,000","708,000","0","1,200,000","700,000","1,600,000","2,300,000","2,200,000","1,900,000","2,100,000","3,000,000","3,100,000","7,200,000"
OperatingExpense,"259,000","410,000","1,380,000","1,207,000","743,000","534,000","949,000","629,000","777,000","800,000","1,700,000","1,800,000","1,800,000","2,300,000","1,900,000","2,100,000","2,700,000","3,600,000","3,800,000","5,100,000"
	SellingGeneralAndAdministration,"253,000","404,000","1,078,000","436,000","432,000","473,000","522,000","475,000","418,000","600,000","1,300,000","1,100,000","1,000,000","1,300,000","1,100,000","1,100,000","1,300,000","2,000,000","1,900,000","2,100,000"
	DepreciationAmortizationDepletionIncomeStatement,,"0","2,000","3,000","3,000","9,000","32,000","123,000","127,000","200,000","400,000","700,000","800,000","1,000,000","800,000","1,000,000","1,400,000","1,500,000","1,800,000","2,900,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"200,000","400,000","700,000","800,000","1,000,000","800,000","1,000,000","1,400,000","1,500,000","1,800,000","2,900,000"
	OtherTaxes,,,,,,,,,,,,,,,,,,"100,000","100,000","100,000"
	OtherOperatingExpenses,,"6,000","300,000","768,000","308,000","52,000","395,000","31,000","232,000",,,,,,,,,,,
OperatingIncome,"-290,000","184,000","-892,000","-1,113,000","-568,000","-396,000","-883,000","-12,000","-69,000","-800,000","-500,000","-1,100,000","-200,000","0","300,000","-200,000","-600,000","-600,000","-700,000","2,100,000"
OtherIncomeExpense,,,,,,,"0",,,"-900,000","100,000","-1,200,000",,"-800,000","300,000",,"-400,000",,"-8,500,000","1,600,000"
	SpecialIncomeCharges,,,,,,,,,,"-900,000","100,000","-1,200,000",,"-800,000","300,000",,"-400,000",,"-8,500,000","1,600,000"
PretaxIncome,,,,,,"-397,000","-887,000",,,,"-700,000",,"-300,000",,"400,000",,,"-800,000","-9,300,000","3,300,000"
TaxProvision,,,,,,"0","0",,,,"-200,000",,"-1,100,000",,"100,000",,,"-100,000","-4,500,000","1,500,000"
NetIncomeCommonStockholders,"-290,000","184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000"
	NetIncome,"-290,000","184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000"
		NetIncomeIncludingNoncontrollingInterests,"-290,000","184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000"
			NetIncomeContinuousOperations,"-290,000","184,000","-892,000","-1,113,000","-568,000","-397,000","-887,000","-15,000","-72,000","-1,700,000","-500,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000"
			NetIncomeDiscontinuousOperations,,,,,"0","-116,000","595,000",,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,"0","441,000",,,"0","448,000",,"200,000",,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,"200,000",,,,,,,,,
DilutedNIAvailtoComStockholders,"-290,000","184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000"
