name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalRevenue,"196,954,000","220,075,000","208,270,000","157,607,000","210,948,000","287,183,000","410,389,000","336,312,000","451,316,000","442,954,000","359,304,000","301,803,000","305,914,000","213,458,759","152,709,217"
"	OperatingRevenue","196,954,000","220,075,000","208,270,000","157,607,000","210,948,000","287,183,000","410,389,000","336,312,000","451,316,000","442,954,000","359,304,000","301,803,000","305,914,000","213,458,759","152,709,217"
CostOfRevenue,"186,424,000","176,597,000","169,999,000","151,828,000","240,195,000","302,660,000","368,385,000","258,397,000","281,178,000","256,734,000","253,233,000","179,688,000","120,356,000","160,960,398","110,994,751"
GrossProfit,"10,530,000","43,478,000","38,271,000","5,779,000","-29,247,000","-15,477,000","42,004,000","77,915,000","170,138,000","186,220,000","106,071,000","122,115,000","185,558,000","52,498,361","41,714,466"
OperatingExpense,"27,914,000","27,118,000","22,777,000","18,087,000","22,739,000","30,517,000","24,397,000","37,073,000","34,737,000","11,593,000","30,033,000","29,018,000","23,970,000","19,199,586","21,725,459"
"	OperationAndMaintenance","400,000","549,000","530,000","1,687,000","2,603,000",,,,,,,,,,
"	SellingGeneralAndAdministration","25,476,000","23,556,000","20,438,000","19,461,000","20,034,000","27,486,000","27,223,000","33,768,000","33,750,000","31,807,000","29,122,000","28,375,000","22,832,000","15,997,862","10,054,055"
"		GeneralAndAdministrativeExpense",,,"530,000","1,687,000","2,603,000",,,,,,,,,,
"			InsuranceAndClaims",,,,0,,,,,,,,,,,
"			OtherGandA",,,"530,000","1,687,000","2,603,000",,,,,,,,,,
"		SellingAndMarketingExpense",,,"20,438,000","19,461,000","20,034,000",,,,,,,,,,
"	OtherTaxes",,,,0,,,,,,,,,,,
"	OtherOperatingExpenses","2,038,000","3,013,000","1,809,000","-3,061,000","102,000","3,031,000","-2,826,000","3,305,000","987,000","-20,214,000","911,000","643,000","1,138,000","3,201,724","11,671,404"
OperatingIncome,"-17,384,000","16,360,000","15,494,000","-12,308,000","-51,986,000","-45,994,000","17,607,000","40,842,000","135,401,000","174,627,000","76,038,000","93,097,000","161,588,000","33,298,775","19,989,007"
NetNonOperatingInterestIncomeExpense,"-4,289,000","-3,031,000","-3,745,000","-11,686,000","-11,336,000","-5,588,000","-6,046,000","-1,007,000","938,000","861,000","-694,000","-645,000",,,
"	InterestIncomeNonOperating",,,"110,000","6,000","286,000","763,000","186,000","524,000","1,843,000","1,730,000","819,000","161,000",,,
"	InterestExpenseNonOperating","1,996,000","2,728,000","2,721,000","6,913,000","8,703,000","6,351,000","6,232,000","1,531,000","905,000","869,000","1,513,000","806,000",,,
"	TotalOtherFinanceCost","2,293,000","303,000","1,134,000","4,779,000","2,919,000",,,,,,,,,,
OtherIncomeExpense,"-5,441,000","355,000","142,000","-1,699,000","-4,673,000","-323,221,000","-750,000","-1,742,000","588,000","-227,000","-301,000","-205,000","-3,316,000","5,545,342","7,015,671"
"	SecuritiesAmortization",,,,,"1,768,000",,,,,,,,,,
