name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
TotalRevenue,"4,131,600,000","3,156,000,000","2,663,400,000","2,642,100,000","2,836,100,000","3,016,500,000","2,841,300,000","2,816,500,000","2,826,100,000","2,835,700,000","3,139,900,000","3,141,500,000","2,981,800,000","2,871,800,000","2,697,100,000","2,369,300,000","2,037,900,000","1,910,100,000","1,760,600,000","1,747,700,000","1,764,300,000","1,648,300,000","1,113,000,000","900,800,000","751,900,000","732,800,000","606,300,000","466,000,000","412,800,000","388,100,000","350,400,000"
"	OperatingRevenue","4,131,600,000","3,156,000,000","2,663,400,000","2,642,100,000","2,836,100,000","3,016,500,000","2,841,300,000","2,816,500,000","2,826,100,000","2,835,700,000","3,139,900,000","3,141,500,000","2,981,800,000","2,871,800,000","2,697,100,000","2,369,300,000","2,037,900,000","1,910,100,000","1,760,600,000","1,747,700,000","1,764,300,000","1,648,300,000","1,113,000,000","900,800,000","751,900,000","732,800,000","606,300,000","466,000,000","412,800,000","388,100,000","350,400,000"
CostOfRevenue,"2,784,600,000","2,136,400,000","1,798,800,000","1,669,500,000","1,840,700,000","1,951,600,000","1,809,900,000","1,834,100,000","1,864,800,000","1,832,700,000","1,992,600,000","2,052,500,000","2,042,200,000","1,867,300,000","1,741,200,000","1,509,200,000","1,267,600,000","1,210,200,000","1,124,000,000","1,089,000,000","1,011,300,000","954,300,000","690,100,000","553,400,000","393,600,000","368,700,000","297,700,000","226,100,000","197,400,000","197,700,000","176,900,000"
GrossProfit,"1,347,000,000","1,019,600,000","864,600,000","972,600,000","995,400,000","1,064,900,000","1,031,400,000","982,400,000","961,300,000","1,003,000,000","1,147,300,000","1,089,000,000","939,600,000","1,004,500,000","955,900,000","860,100,000","770,300,000","699,900,000","636,600,000","658,700,000","753,000,000","694,000,000","422,900,000","347,400,000","358,300,000","364,100,000","308,600,000","239,900,000","215,400,000","190,400,000","173,500,000"
OperatingExpense,"761,700,000","602,600,000","532,500,000","543,500,000","586,500,000","698,400,000","670,500,000","661,100,000","711,300,000","699,900,000","744,200,000","813,800,000","841,600,000","724,600,000","694,100,000","659,800,000","507,200,000","441,200,000","387,600,000","459,300,000","578,100,000","530,400,000","309,400,000","244,800,000","310,300,000","297,300,000","249,400,000","195,500,000","172,800,000","152,900,000","142,800,000"
"	SellingGeneralAndAdministration","686,600,000","528,800,000","468,700,000","489,100,000","535,100,000","698,400,000","621,900,000","661,100,000","705,700,000","699,900,000","752,400,000","816,000,000","717,600,000","700,900,000","636,900,000","633,800,000","564,600,000","470,100,000","411,800,000","468,200,000","511,800,000","470,200,000","271,600,000","214,400,000","281,000,000","271,600,000","227,400,000","177,400,000","157,000,000","142,200,000","132,500,000"
"		GeneralAndAdministrativeExpense","539,200,000","408,500,000","364,500,000","366,100,000","402,900,000",,"478,300,000",,,,,,,,,,"459,600,000","372,400,000","329,600,000","317,200,000",,,,,,,,,,,
"			SalariesAndWages","57,900,000","38,400,000","40,400,000","25,200,000","15,600,000",,"11,100,000",,,,,,,,,,,,,,,,,,,,,,,,
"			OtherGandA","481,300,000","370,100,000","324,100,000","340,900,000","387,300,000",,"467,200,000",,,,,,,,,,"459,600,000","372,400,000","329,600,000","317,200,000",,,,,,,,,,,
"		SellingAndMarketingExpense","147,400,000","120,300,000","104,200,000","123,000,000","132,200,000",,"143,600,000",,,,,,,,,,"105,000,000","97,700,000","82,200,000","151,000,000",,,,,,,,,,,
"	ResearchAndDevelopment","39,700,000","39,600,000","42,500,000","39,900,000","45,500,000",,"48,400,000",,,,,,,,,,,,,,,,,,,,,,,,
"	DepreciationAmortizationDepletionIncomeStatement","31,500,000","32,900,000","28,900,000","21,900,000","16,500,000",,"10,200,000",,,,,,,,,,"11,600,000","8,600,000","5,700,000","27,700,000","66,300,000","60,200,000","37,800,000","30,400,000","29,300,000","25,700,000","22,000,000","18,100,000","15,800,000","10,700,000","10,300,000"
"		DepreciationAndAmortizationInIncomeStatement","31,500,000","32,900,000","28,900,000","21,900,000","16,500,000",,"10,200,000",,,,,,,,,,"11,600,000","8,600,000","5,700,000","27,700,000","66,300,000","60,200,000","37,800,000","30,400,000","29,300,000","25,700,000","22,000,000","18,100,000","15,800,000","10,700,000","10,300,000"
"			Amortization","31,500,000","32,900,000","28,900,000","21,900,000","16,500,000",,"10,200,000",,,,,,,,,,"11,600,000","8,600,000","5,700,000","27,700,000",,,,,,,,,,,
"				AmortizationOfIntangiblesIncomeStatement","31,500,000","32,900,000","28,900,000","21,900,000","16,500,000",,"10,200,000",,,,,,,,,,"11,600,000","8,600,000","5,700,000","27,700,000",,,,,,,,,,,
"	OtherOperatingExpenses","3,900,000","1,300,000","-7,600,000","-7,400,000","-10,600,000","-6,100,000","-10,000,000","-10,000,000","5,600,000","-1,700,000","-8,200,000","-2,200,000","124,000,000","23,700,000","57,200,000","26,000,000","-69,000,000","-37,500,000","-29,900,000","-36,600,000",,,,,,,,,,,
OperatingIncome,"585,300,000","417,000,000","332,100,000","429,100,000","408,900,000","366,500,000","360,900,000","321,300,000","250,000,000","303,100,000","403,100,000","275,200,000","98,000,000","279,900,000","261,800,000","200,300,000","263,100,000","258,700,000","249,000,000","199,400,000","174,900,000","163,600,000","113,500,000","102,600,000","48,000,000","66,800,000","59,200,000","44,400,000","42,600,000","37,500,000","30,700,000"
NetNonOperatingInterestIncomeExpense,"-94,700,000","-101,800,000","-86,400,000","-66,100,000","-70,500,000","-50,500,000","-58,000,000","-59,200,000","-61,800,000","-52,200,000","-46,800,000","-56,400,000",,,,,,,,,,,,,,,,,,,
"	InterestIncomeNonOperating",,,0,"10,000,000","3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","79,600,000","101,800,000","86,400,000","76,100,000","65,600,000","50,500,000","47,300,000","59,200,000","61,800,000","51,000,000","46,800,000","56,400,000",,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost","15,100,000",,,,"8,800,000",,"10,700,000",,,"1,200,000",,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"20,000,000","266,400,000","-130,000,000","-48,100,000","54,300,000","-71,900,000","-46,300,000","-8,100,000","-6,400,000","-56,100,000","-18,500,000","-8,100,000","-124,000,000","-44,800,000","-66,500,000","-25,400,000","13,200,000","11,300,000","20,100,000","-46,400,000","35,300,000","32,500,000","-19,400,000","-6,300,000","-20,200,000",,,,,"-2,200,000","-3,000,000"
"	GainOnSaleOfSecurity",,,"-900,000","-800,000","-700,000",,"-1,000,000",,"700,000",,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest",0,"3,300,000","4,900,000","-29,000,000","7,800,000",,"5,700,000",,,,,,,,,,,,,,,,,,,,,,,,
"	SpecialIncomeCharges","3,100,000","-7,400,000","-132,300,000","-4,900,000","47,200,000","-78,000,000","-51,000,000","-18,100,000","-7,100,000","-56,100,000","-18,500,000","-8,100,000","-124,000,000","-44,800,000","-66,500,000","-25,400,000","13,200,000","11,300,000","20,100,000","-46,400,000","35,300,000","32,500,000","-19,400,000","-6,300,000","-20,200,000",,,,,"-2,200,000","-3,000,000"
"		RestructuringAndMergernAcquisition","-3,100,000",,,,,,"17,300,000",,,"57,800,000","18,500,000","8,100,000",,"2,700,000","9,300,000","-300,000","9,700,000","17,100,000","8,100,000","75,700,000",,,,,,,,,,,
"		ImpairmentOfCapitalAssets",0,"7,400,000","132,300,000","4,900,000","-47,200,000","78,000,000","33,700,000","18,100,000","7,100,000","57,800,000",,,,,,,,,,,,,,,,,,,,,
"		WriteOff",,"7,400,000","132,300,000","4,900,000","-47,200,000","78,000,000","51,000,000","18,100,000","7,100,000",,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges",,,,,,,,,,"-1,700,000",,"16,800,000",,"42,100,000","57,200,000","25,700,000","-22,900,000","-28,400,000","-28,200,000","-29,300,000",,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","16,900,000","270,500,000","-1,700,000","-13,400,000","13,800,000","6,100,000","14,700,000","10,000,000","2,900,000",,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"510,600,000","581,600,000","115,700,000","314,900,000","392,700,000","244,100,000","256,600,000","254,000,000","181,800,000","194,800,000","337,800,000","210,700,000","15,800,000","188,100,000","212,900,000","158,100,000","158,500,000","16,300,000","162,900,000","28,700,000","116,300,000","117,000,000","61,900,000","69,600,000","1,300,000","40,700,000","41,800,000","35,300,000","26,200,000","4,400,000","-6,800,000"
TaxProvision,"123,700,000","144,900,000","-11,900,000","116,600,000","139,400,000","85,400,000","91,200,000","92,800,000","68,600,000","72,900,000","125,400,000","57,400,000","26,700,000","74,700,000","80,200,000","57,700,000","58,000,000","59,500,000","61,900,000","13,200,000","43,200,000","47,900,000","24,900,000","30,100,000","3,800,000","15,600,000","17,900,000","14,300,000","11,100,000","2,700,000","100,000"
NetIncomeCommonStockholders,"387,400,000","460,700,000","63,700,000","218,300,000","315,300,000","159,800,000","166,500,000","161,100,000","106,500,000","167,900,000","204,100,000","153,300,000","-10,900,000","113,400,000","132,700,000","100,600,000","100,900,000","103,800,000","82,500,000","15,500,000","66,700,000","53,500,000","26,500,000","29,700,000","-12,300,000","24,000,000","22,900,000","7,800,000","15,600,000","1,700,000","-6,900,000"
"	NetIncome","387,400,000","460,700,000","63,700,000","218,300,000","315,300,000","159,800,000","166,500,000","161,100,000","106,500,000","167,900,000","204,100,000","153,300,000","-10,900,000","113,400,000","132,700,000","100,600,000","100,900,000","103,800,000","82,500,000","15,500,000","73,100,000","63,200,000","36,300,000","39,500,000","-2,500,000","25,100,000","22,900,000","7,800,000","15,600,000","1,700,000","-6,900,000"
"		NetIncomeIncludingNoncontrollingInterests","388,600,000","460,200,000","63,700,000","218,800,000","314,800,000","158,700,000","166,200,000","161,100,000","106,500,000","167,900,000","204,100,000","153,300,000","-10,900,000","113,400,000","132,700,000","100,600,000","100,900,000","103,800,000","82,500,000","15,500,000","73,100,000","63,200,000","36,300,000","39,500,000","-2,500,000","25,100,000","22,900,000","7,800,000","15,600,000","1,700,000","-6,900,000"
