name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
Texas,1,1,1,1,1,1,1,1,1,1,,,
Kansas,1,1,1,1,1,1,1,1,1,1,,,
Illinois,1,1,1,1,1,1,0,0,0,0,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operating Margin,0.019625153,0.077615426,0.019557563,-0.027865611,0.074943023,0.237657074,0.277243735,0.385733088,0.382912847,0.438601762,0.11279562,0.234500002,0.444217532
Net Margin,0.019056845,0.076147331,0.019095254,-0.027865611,0.074943023,0.237657074,0.277243735,0.385733088,0.382912847,0.438601762,0.11279562,0.234500002,0.444217532
Return On Equity,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Current Ratio,1.548499496,1.729011929,1.581775187,2.119939389,2.134870509,3.811530447,3.263354069,4.958007741,3.356200101,6.403707542,1.587985068,5.903090396,2.474973766
Quick ratio,0.993764818,1.015000463,1.063538142,1.155557536,1.211819221,2.363317126,2.36643413,3.750675528,2.771076301,5.855938192,1.157609167,5.109285663,1.800668668
ROC,-0.02667,0.026257,0.011076,-0.004936,0.010552,0.135017,0.09999,0.22108,0.203138,0.222106,0.050561,0.111358,#DIV/0!
D/E ratio,2.024503,1.507365,1.258416,1.138312,0.99712,0.32421,0.301983,0.284142,0.280148,0.255368,0,0,#DIV/0!
EPS,-9.1709,-3.086872,-4.416109,-6.425326,-2.377939,8.483998,10.413825,16.223665,15.359308,18.135741,4.562466,7.928493,16.292329
