name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"4,124,000,000","4,124,000,000","4,590,000,000","4,429,000,000","4,130,000,000","3,685,000,000","4,308,300,000","4,743,200,000","5,474,700,000","6,104,000,000","6,097,900,000","3,965,000,000","2,608,400,000","3,921,100,000","2,756,700,000","1,949,500,000","1,908,400,000","1,650,652,000","1,390,100,000","1,014,100,000","1,159,600,000"
	OperatingRevenue,"4,124,000,000","4,124,000,000","4,590,000,000","4,429,000,000","4,130,000,000","3,685,000,000","4,308,300,000","4,743,200,000","5,474,700,000","6,104,000,000","6,097,900,000","3,965,000,000","2,608,400,000","3,921,100,000","2,756,700,000","1,949,500,000","1,908,400,000","1,650,652,000","1,390,100,000","1,014,100,000","1,159,600,000"
CostOfRevenue,"3,323,000,000","3,323,000,000","3,416,000,000","3,512,000,000","3,700,000,000","2,845,000,000","2,761,200,000","2,964,700,000","2,954,500,000","2,990,700,000","3,202,300,000","2,785,500,000","1,769,000,000","2,698,400,000","2,086,700,000","1,802,300,000","1,699,200,000","1,434,545,000","1,355,700,000","986,300,000","1,244,700,000"
GrossProfit,"801,000,000","801,000,000","1,174,000,000","917,000,000","430,000,000","840,000,000","1,547,100,000","1,778,500,000","2,520,200,000","3,113,300,000","2,895,600,000","1,179,500,000","839,400,000","1,222,700,000","670,000,000","147,200,000","209,200,000","216,107,000","34,400,000","27,800,000","-85,100,000"
OperatingExpense,"203,000,000","203,000,000","240,000,000","195,000,000","201,000,000","247,000,000","221,100,000","182,600,000","176,800,000","173,700,000","100,700,000","262,200,000","159,600,000","72,500,000","68,400,000","75,900,000","73,300,000","66,873,000","40,000,000","46,600,000","49,200,000"
	SellingGeneralAndAdministration,"206,000,000","206,000,000","239,000,000","214,000,000","192,000,000","174,000,000","169,800,000","151,900,000","166,000,000","151,800,000","130,000,000","106,100,000","62,900,000","72,500,000","68,400,000","54,500,000","71,100,000","66,873,000","38,400,000","37,300,000","36,100,000"
		GeneralAndAdministrativeExpense,"206,000,000","206,000,000","239,000,000","214,000,000","192,000,000","174,000,000","169,800,000","151,900,000","166,000,000","151,800,000",,,,,,,,,,,
			InsuranceAndClaims,,,,"10,000,000",,,,,,,,,,,,,,,,,
			OtherGandA,"206,000,000","206,000,000","239,000,000","214,000,000","192,000,000","174,000,000","169,800,000","151,900,000","166,000,000","151,800,000",,,,,,,,,,,
	OtherOperatingExpenses,"-3,000,000","-3,000,000","1,000,000","-19,000,000","9,000,000","73,000,000","51,300,000","30,700,000","10,800,000","21,900,000","-29,300,000","156,100,000","96,700,000",,,"21,400,000","2,200,000",,"1,600,000","9,300,000","13,100,000"
