name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"5,503,428,000","6,760,658,000","7,853,944,000","8,401,984,000","8,187,015,000","9,537,840,000","11,879,942,000","12,159,811,000","12,656,022,000","12,912,140,000","11,646,569,000","10,644,690,000","10,467,982,000","10,103,382,000","9,142,303,000","7,230,407,000","5,862,609,000","5,602,692,000","5,063,872,000","4,151,915,000","3,136,868,000","2,398,000,000","1,450,200,000","1,234,200,000","871,300,000","583,500,000","419,000,000","426,800,000","309,400,000","262,500,000","209,100,000","68,000,000","55,600,000","50,000,000","120,100,000","179,900,000"
	CurrentAssets,"1,131,465,000","1,248,666,000","1,593,563,000","1,447,336,000","1,155,839,000","1,475,897,000","2,741,874,000","2,753,830,000","3,132,857,000","3,088,314,000","2,612,930,000","2,176,664,000","2,166,593,000","2,205,112,000","2,504,856,000","2,617,308,000","1,580,974,000","1,515,647,000","1,369,908,000","1,030,946,000","1,018,318,000","461,300,000","265,500,000","305,800,000","328,500,000","183,400,000","160,100,000","188,200,000","101,600,000","83,100,000","83,000,000","24,800,000","26,900,000","16,100,000","20,000,000","73,000,000"
		CashCashEquivalentsAndShortTermInvestments,"481,746,000","452,496,000","481,802,000","365,366,000","295,202,000","274,589,000","536,169,000","507,133,000","778,204,000","539,489,000","801,190,000","1,090,851,000","584,245,000","767,051,000","1,140,016,000","1,423,525,000","813,051,000","919,673,000","871,651,000","541,612,000","550,953,000","111,700,000","16,700,000","3,900,000","95,900,000","12,000,000","22,400,000","63,100,000","14,800,000","15,000,000","20,800,000","6,700,000","13,300,000","6,300,000","5,200,000","50,100,000"
			CashAndCashEquivalents,"472,246,000","435,990,000","447,766,000","336,997,000","264,093,000","254,530,000","501,149,000","389,915,000","524,922,000","398,575,000","641,702,000","927,815,000","442,087,000","531,306,000","700,549,000","565,001,000","384,709,000","579,737,000","414,051,000","198,443,000","197,312,000","80,600,000","16,700,000","3,900,000","95,900,000","12,000,000","22,400,000","63,100,000","14,800,000","15,000,000","20,800,000","6,700,000","13,300,000","6,300,000","5,200,000","50,100,000"
			OtherShortTermInvestments,"9,500,000","16,506,000","34,036,000","28,369,000","31,109,000","20,059,000","35,020,000","117,218,000","253,282,000","140,914,000","159,488,000","163,036,000","142,158,000","235,745,000","439,467,000","858,524,000","428,342,000","339,936,000","457,600,000","343,169,000","353,641,000","31,100,000",,,,,,,,,,,,,,
		Receivables,"362,977,000","453,042,000","756,320,000","698,477,000","508,355,000","784,671,000","1,517,503,000","1,399,543,000","1,382,623,000","1,576,555,000","1,116,510,000","724,040,000","1,160,768,000","1,039,238,000","1,109,738,000","822,104,000","540,103,000","410,487,000","277,735,000","361,086,000","350,302,000","205,600,000","174,300,000","245,000,000","172,700,000","132,500,000","109,700,000","88,800,000","53,600,000","46,800,000","52,100,000","12,400,000","10,100,000","6,800,000","7,000,000","16,500,000"
			AccountsReceivable,"362,977,000","453,042,000","756,320,000","698,477,000","508,355,000","784,671,000","1,517,503,000","1,399,543,000","1,382,623,000","1,576,555,000","1,116,510,000","724,040,000","1,160,768,000","1,039,238,000","1,109,738,000","822,104,000","540,103,000","410,487,000","277,735,000","361,086,000",,,,,,,,,,,,,,,,
		Inventory,"160,585,000","176,341,000","165,587,000","166,307,000","103,595,000","153,824,000","230,067,000","209,793,000","251,133,000","272,852,000","158,836,000","100,819,000","150,118,000","133,786,000","100,487,000","51,292,000","28,653,000","23,289,000","20,524,000","18,515,000","18,029,000","25,800,000","25,700,000","21,400,000","18,500,000","14,100,000","14,800,000","20,000,000","20,900,000","11,800,000","5,900,000","1,600,000",,,,
			RawMaterials,"133,424,000","130,414,000","116,840,000","124,635,000","84,431,000","105,217,000","133,797,000","128,606,000","148,822,000","133,480,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"3,452,000","5,498,000","20,329,000","19,113,000","1,204,000","29,710,000","39,617,000","26,762,000","45,733,000","50,951,000",,,,,,,,,,,,,,,,,,,,,,,,,,
